#,Name,Team,G,AB,PA,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,SB,CS,NSB,AVG,OBP,SLG,OPS,BABIP,K%,BB%,real_AB,real_PA,real_H,real_1B,real_2B,real_3B,real_HR,real_R,real_RBI,real_BB,real_IBB,real_SO,real_HBP,real_SF,real_SH,real_SB,real_CS,real_NSB,real_AVG,real_OBP,real_SLG,real_OPS,real_BABIP,real_K%,real_BB%,1B%,2B%,3B%,HR%,real_1B%,real_2B%,real_3B%,real_HR%,HIP,real_HIP
1,Aaron Judge,NYY,156,385.0744047619048,458.0,107.0029761904762,58.61309523809524,17.038690476190478,0.0,31.35119047619048,75.65178571428572,78.37797619047619,64.74702380952381,8.178571428571429,116.54464285714286,4.089285714285714,2.7261904761904763,1.363095238095238,7.49702380952381,2.044642857142857,5.4523809523809526,0.278,0.385074627,0.566371681,0.951446308,0.315340909,25.44642857,14.13690476,367,458,98,45,16,0,37,79,75,88,9,130,0,3,0,3,1,2,0.267,0.406,0.613,1.019,0.3,28.4,19.2,0.7747747747747747,0.22522522522522523,0.0,0.0684523809523809,0.7377049180327869,0.26229508196721313,0.0,0.0807860262008733,75.65178571428572,61
2,Nolan Arenado,STL,156,551.8928571428571,612.0,149.35714285714286,88.33928571428571,33.69642857142857,0.9107142857142856,26.410714285714285,73.76785714285714,93.80357142857144,50.08928571428572,3.642857142857143,77.41071428571428,5.464285714285714,4.553571428571429,0.0,4.553571428571429,1.821428571428572,2.732142857142857,0.271,0.334821429,0.478547855,0.813369283,0.271629779,12.64880952,8.18452381,560,612,149,95,26,2,26,71,93,41,5,101,3,8,0,3,3,0,0.266,0.315,0.459,0.774,0.279,16.5,6.7,0.7185185185185184,0.274074074074074,0.007407407407407406,0.0431547619047619,0.7723577235772358,0.21138211382113822,0.016260162601626018,0.0424836601307189,122.94642857142858,123
3,Trea Turner,PHI,156,630.3318452380953,691.0,184.0610119047619,121.33630952380952,35.989583333333336,4.113095238095238,22.62202380952381,101.79910714285714,83.29017857142857,48.32886904761905,1.0282738095238095,122.36458333333331,5.141369047619048,4.113095238095238,3.084821428571429,28.791666666666668,5.141369047619048,23.65029761904762,0.292,0.34529148,0.469820555,0.815112034,0.329831933,17.70833333,6.994047619,639,691,170,104,35,5,26,102,76,45,2,150,6,1,0,30,0,30,0.266,0.32,0.459,0.778,0.31,21.7,6.5,0.7515923566878981,0.22292993630573252,0.02547770700636943,0.0327380952380952,0.7222222222222222,0.24305555555555555,0.034722222222222224,0.0376266280752532,161.43898809523807,144
4,Francisco Lindor,NYM,156,611.3482142857143,687.0,154.37053571428572,97.12053571428572,27.602678571428573,4.089285714285714,25.558035714285715,89.96428571428572,90.98660714285714,60.316964285714285,3.0669642857142856,124.72321428571428,8.178571428571429,5.111607142857143,2.044642857142857,15.334821428571429,5.111607142857143,10.223214285714286,0.252,0.325373134,0.436454849,0.761827984,0.276315789,18.1547619,8.779761905,602,687,153,87,33,2,31,108,98,66,1,137,12,7,0,31,4,27,0.254,0.336,0.47,0.806,0.277,19.9,9.6,0.7539682539682541,0.2142857142857143,0.031746031746031744,0.0372023809523809,0.7131147540983607,0.27049180327868855,0.01639344262295082,0.0451237263464337,128.8125,122
5,Manny Machado,SDP,156,533.9241071428572,601.0,142.20089285714286,87.64583333333334,26.830357142857142,0.8943452380952381,26.830357142857142,82.27976190476191,89.43452380952381,59.02678571428572,8.049107142857142,112.6875,2.6830357142857144,5.366071428571429,0.8943452380952381,8.943452380952381,2.6830357142857144,6.260416666666667,0.266,0.339285714,0.470686767,0.809972481,0.288590604,18.75,9.821428571,543,601,140,89,21,0,30,75,91,50,1,109,2,6,0,3,2,1,0.258,0.319,0.462,0.782,0.268,18.1,8.3,0.7596899224806202,0.2325581395348837,0.007751937984496124,0.0446428571428571,0.8090909090909091,0.19090909090909092,0.0,0.0499168053244592,115.37053571428572,110
6,Austin Riley,ATL,156,637.3288690476192,715.0000000000001,174.49404761904765,98.95089285714286,35.111607142857146,2.1279761904761907,38.30357142857143,98.95089285714286,114.91071428571428,58.51934523809524,2.1279761904761907,173.43005952380955,12.767857142857144,5.319940476190476,1.0639880952380951,1.0639880952380951,1.0639880952380951,0.0,0.274,0.344262295,0.515859766,0.860122061,0.316049383,24.25595238,8.18452381,636,715,179,107,32,3,37,117,97,59,4,172,9,11,0,3,1,2,0.281,0.345,0.516,0.861,0.324,24.1,8.3,0.7265625,0.2578125,0.015625,0.0535714285714285,0.7535211267605634,0.22535211267605634,0.02112676056338028,0.0517482517482517,136.1904761904762,142
7,Marcus Semien,TEX,156,674.5624999999999,752.9999999999999,173.6830357142857,104.20982142857142,34.73660714285714,4.482142857142857,30.254464285714285,106.45089285714285,84.04017857142857,66.11160714285714,0.0,131.10267857142856,3.3616071428571423,4.482142857142857,3.3616071428571423,21.29017857142857,6.723214285714285,14.566964285714285,0.257,0.324850299,0.456810631,0.781660931,0.277056277,17.41071429,8.779761905,670,753,185,112,40,4,29,122,100,72,1,110,5,5,0,14,3,11,0.276,0.348,0.478,0.826,0.291,14.6,9.6,0.7265625,0.2421875,0.03125,0.0401785714285714,0.717948717948718,0.2564102564102564,0.02564102564102564,0.0385126162018592,143.42857142857142,156
8,Rafael Devers,BOS,156,588.6428571428571,656.0,166.92857142857142,92.73809523809524,40.023809523809526,1.9523809523809523,32.214285714285715,98.59523809523807,102.5,54.66666666666666,8.785714285714285,126.9047619047619,6.833333333333333,3.9047619047619047,1.9523809523809523,4.8809523809523805,2.9285714285714284,1.9523809523809523,0.284,0.349253731,0.52238806,0.871641791,0.310810811,19.3452381,8.333333333,580,656,157,90,34,0,33,90,100,62,10,126,11,3,0,5,1,4,0.271,0.351,0.5,0.851,0.292,19.2,9.5,0.6884057971014494,0.29710144927536236,0.014492753623188408,0.0491071428571428,0.7258064516129032,0.27419354838709675,0.0,0.0503048780487804,134.7142857142857,124
9,Freddie Freeman,LAD,156,630.0595238095237,730.0,184.67261904761904,117.32142857142856,36.93452380952381,2.1726190476190474,28.244047619047617,111.88988095238096,106.45833333333331,86.9047619047619,13.035714285714285,111.88988095238096,6.517857142857142,4.345238095238095,2.1726190476190474,10.863095238095235,3.258928571428571,7.604166666666666,0.293,0.382089552,0.493103448,0.875193001,0.316483516,15.32738095,11.9047619,637,730,211,121,59,2,29,131,102,72,12,121,16,5,0,23,1,22,0.331,0.41,0.567,0.976,0.37,16.6,9.9,0.75,0.23611111111111113,0.013888888888888888,0.0386904761904761,0.6648351648351648,0.3241758241758242,0.01098901098901099,0.0397260273972602,156.42857142857142,182
10,Paul Goldschmidt,STL,156,599.0803571428571,687.0,164.59375,100.1875,33.736607142857146,1.0223214285714286,29.64732142857143,96.09821428571428,101.20982142857144,76.67410714285714,1.0223214285714286,150.28125,5.111607142857143,5.111607142857143,1.0223214285714286,7.15625,2.044642857142857,5.111607142857143,0.274,0.359165425,0.482935154,0.842100578,0.318072289,21.875,11.16071429,593,687,159,103,31,0,25,89,80,87,6,161,3,3,0,11,2,9,0.268,0.363,0.447,0.81,0.327,23.4,12.7,0.7424242424242425,0.25000000000000006,0.007575757575757577,0.0431547619047619,0.7686567164179104,0.23134328358208955,0.0,0.0363901018922852,134.94642857142856,134
