#,Name,Team,G,AB,PA,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,SB,CS,AVG
373,David Fry,CLE,40,154,175,38,23,8,1,6,20,22,16,1,41,3,1,0,2,0,0.244
374,Randal Grichuk,ARI,62,245,266,62,39,13,1,8,31,33,16,0,55,3,2,0,1,1,0.252
375,Austin Barnes,LAD,36,125,141,27,20,4,0,2,14,12,13,0,32,2,1,1,2,0,0.219
376,Joey Loperfido,TOR,42,164,182,37,22,8,1,5,21,21,13,1,57,3,1,1,4,1,0.224
377,Nick Yorke,PIT,36,139,154,35,25,7,0,3,17,16,12,0,35,1,1,0,3,1,0.251
378,Angel Martínez,CLE,29,113,126,27,18,6,1,2,14,13,10,0,25,1,1,1,2,1,0.237
379,Miguel Rojas,LAD,23,90,98,23,17,5,0,2,10,10,6,0,12,1,1,0,2,1,0.256
380,Jacob Melton,HOU,37,149,161,33,21,6,0,5,18,18,10,0,43,1,1,0,6,1,0.221
381,Jack Suwinski,PIT,34,128,147,29,16,6,1,6,17,18,16,1,44,1,1,0,3,1,0.225
382,Michael A. Taylor,CHW,39,153,168,33,23,5,0,5,18,16,12,0,54,1,1,1,5,1,0.216
383,Nick Loftin,KCR,29,112,126,28,19,5,0,2,14,13,11,0,21,1,1,0,2,1,0.248
384,Liam Hicks,MIA,26,89,103,21,16,4,0,1,10,9,11,0,17,2,1,0,1,0,0.241
385,Michael Toglia,COL,131,502,567,114,65,20,3,26,69,74,58,1,170,3,3,1,8,2,0.226
386,Tirso Ornelas,SDP,71,280,308,68,45,14,1,8,33,34,24,1,65,2,2,0,3,1,0.242
387,James McCann,,45,164,179,38,26,7,0,5,18,19,10,0,47,2,2,1,2,0,0.229
388,Ben Gamel,HOU,36,133,154,31,20,7,1,4,18,16,18,0,41,1,1,0,1,1,0.233
389,Wilmer Flores,SFG,71,274,308,65,42,14,0,9,34,36,27,1,48,4,3,0,0,0,0.238
390,Will Benson,CIN,45,168,196,35,19,8,2,6,25,22,24,0,67,2,1,1,8,2,0.21
391,Whit Merrifield,,42,165,182,41,30,7,1,3,21,17,13,0,31,1,2,1,7,2,0.247
392,Stuart Fairchild,CIN,52,198,224,45,28,9,1,7,27,26,18,0,62,5,2,1,8,2,0.229
393,Nick Allen,ATL,24,95,105,24,17,5,0,1,11,10,8,0,17,1,1,1,2,1,0.249
394,Adrian Del Castillo,ARI,29,107,119,26,16,6,0,3,14,15,10,0,29,1,1,0,0,0,0.24
395,Brett Baty,NYM,18,69,77,16,11,3,0,3,9,9,7,0,19,1,0,0,0,0,0.239
396,Joshua Palacios,PIT,26,101,112,26,18,5,0,3,13,13,8,0,24,1,1,0,2,1,0.258
397,Eloy Jiménez,TBR,28,109,119,29,19,5,0,4,12,15,8,0,24,1,1,0,1,0,0.263
398,J.D. Martinez,,86,331,371,78,46,18,1,13,41,46,34,1,107,3,3,0,0,0,0.236
399,Andy Ibáñez,DET,45,180,196,43,29,10,1,4,21,20,13,0,40,2,1,0,2,1,0.241
400,Emmanuel Rodriguez,MIN,15,52,63,11,6,2,1,2,9,7,10,0,22,1,0,0,1,0,0.211
401,Austin Martin,MIN,28,102,119,25,18,5,0,1,14,11,13,0,22,3,1,0,4,1,0.243
402,Vaughn Grissom,BOS,16,62,70,16,12,3,0,1,8,7,6,0,13,1,0,0,1,0,0.263
403,Christian Bethancourt,TOR,19,72,77,17,11,4,0,2,9,9,3,0,20,0,0,0,1,0,0.233
404,Andruw Monasterio,MIL,24,92,105,22,16,4,0,1,12,10,11,0,26,1,1,0,3,1,0.239
405,Kevin Newman,LAA,55,220,238,54,39,11,1,3,25,20,13,1,39,2,2,2,5,1,0.245
406,Taylor Trammell,HOU,18,67,77,14,8,3,0,3,9,9,8,0,24,1,1,0,2,1,0.216
407,Kyle Farmer,COL,62,242,266,61,41,12,1,7,29,29,16,1,52,6,2,0,3,2,0.251
408,Michael Siani,STL,68,262,294,56,42,9,2,4,32,24,26,0,73,2,2,3,13,3,0.215
409,Luke Keaschall,MIN,13,49,56,12,8,3,0,1,7,6,5,0,12,1,0,0,1,0,0.25
410,Chase DeLauter,CLE,16,63,70,16,10,4,0,2,8,8,5,0,12,0,1,0,1,0,0.259
411,Romy Gonzalez,BOS,19,78,84,20,13,4,1,3,10,11,5,0,23,1,1,0,3,1,0.255
412,Vinny Capra,MIL,28,106,119,25,18,5,0,2,12,11,11,0,26,1,1,0,2,0,0.24
413,Anthony Rizzo,,57,216,245,50,33,9,0,8,26,27,21,1,50,7,1,0,1,1,0.23
414,Hunter Goodman,COL,76,294,319,70,37,17,1,15,38,47,19,0,84,4,3,0,2,1,0.238
415,Nathan Lukes,TOR,15,57,63,15,11,3,0,1,7,7,5,0,11,1,0,0,1,0,0.269
416,Max Schuemann,ATH,26,97,112,21,15,4,0,2,13,10,11,0,30,2,1,1,3,1,0.218
417,Mitch Haniger,SEA,94,365,406,80,52,14,0,14,45,46,34,0,118,4,2,0,1,0,0.219
418,David Hamilton,BOS,18,69,77,16,11,3,1,2,10,8,7,0,19,0,0,0,6,1,0.228
419,Sean Bouchard,COL,40,153,175,37,21,9,2,6,22,21,18,0,47,2,1,1,4,1,0.245
420,Eric Haase,MIL,32,117,128,25,16,4,0,5,14,17,9,0,43,1,1,0,1,0,0.217
421,Sam Hilliard,COL,52,199,224,47,28,8,2,9,29,27,21,1,70,1,2,1,6,1,0.234
422,Leo Rivas,SEA,16,59,70,13,10,2,0,1,8,5,9,0,18,1,1,1,3,1,0.216
423,Leo Jiménez,TOR,11,42,49,10,7,2,0,1,6,5,4,0,11,2,0,0,0,0,0.235
424,Jordan Beck,COL,100,392,434,96,62,21,2,12,49,48,37,1,120,2,3,1,10,2,0.245
425,Elias Díaz,SDP,78,283,307,64,43,13,0,8,29,33,20,1,70,2,2,0,1,0,0.226
426,Daniel Schneemann,CLE,26,99,112,22,14,5,0,2,12,11,12,0,30,0,1,0,2,1,0.221
427,Mark Canha,MIL,36,132,154,32,22,6,0,3,17,15,15,0,31,5,1,0,2,0,0.242
428,Drew Waters,KCR,19,75,84,18,11,4,1,2,11,9,7,0,25,1,1,0,3,1,0.237
429,Nelson Velázquez,KCR,29,113,126,26,15,5,1,5,15,16,11,0,34,1,1,0,2,1,0.23
430,Tyler Locklear,SEA,23,86,98,19,12,4,0,3,11,11,8,0,28,2,1,0,1,0,0.224
431,Blake Sabol,BOS,15,51,58,12,8,2,0,1,6,7,5,0,16,1,0,0,1,0,0.238
432,Drew Millas,WSN,11,40,45,10,7,2,0,1,5,5,4,0,9,0,0,0,1,0,0.242
433,Dominic Canzone,SEA,13,51,56,12,8,2,0,2,7,7,4,0,13,0,0,0,1,0,0.241
434,Adam Frazier,PIT,53,209,231,51,37,10,1,3,25,20,17,0,37,3,1,1,4,1,0.244
435,Deyvison De Los Santos,MIA,81,329,350,82,53,13,1,15,40,45,16,1,94,3,2,1,1,1,0.251
