#,Name,Team,GS,G,IP,TBF,W,L,QS,SV,HLD,BS,H,R,ER,HR,IBB,HBP,SO,BB,K/9,BB/9,ERA,WHIP
317,Gordon Graceffo,STL,2,40,47,200,2,3,1,0,1,,48,24,23,6,,2,33,15,6.45,2.82,4.36,1.34
318,Andrew Saalfrank,ARI,0,35,35,153,2,2,0,0,1,,32,16,15,3,,1,33,18,8.55,4.53,3.77,1.43
319,Bennett Sousa,HOU,0,41,41,176,2,2,0,0,1,,38,20,18,5,,2,41,17,9,3.68,3.98,1.33
320,Kevin Herget,NYM,0,33,33,140,2,2,0,0,1,,32,16,15,5,,1,28,9,7.71,2.57,4.14,1.26
321,Bruce Zimmermann,MIL,0,15,15,64,1,1,0,0,1,,15,7,7,2,,1,13,4,7.79,2.31,4.04,1.27
322,Keaton Winn,SFG,0,15,15,64,1,1,0,0,1,,14,7,7,2,,1,14,4,8.32,2.61,3.94,1.24
323,Jack Dreyer,LAD,0,22,22,94,1,1,0,0,1,,20,11,10,3,,0,22,9,8.94,3.57,4.16,1.32
324,Kyle Amendt,ARI,0,22,22,95,2,2,0,0,1,,19,10,9,3,,0,25,11,10.21,4.6,3.82,1.37
325,Hagen Danner,SEA,0,28,28,118,1,1,0,0,1,,25,13,12,4,,1,28,10,9.05,3.13,3.78,1.25
326,Brad Lord,WSN,2,17,24,105,1,1,1,0,1,,26,14,13,3,,2,16,7,5.96,2.78,4.85,1.38
327,Enyel De Los Santos,ATL,0,33,33,139,1,1,0,0,1,,30,16,15,5,,2,34,12,9.23,3.3,3.98,1.27
328,Daniel Robert,TEX,0,38,38,164,2,2,0,0,1,,35,20,19,5,,2,37,16,8.86,3.79,4.44,1.34
329,Stephen Kolek,SDP,0,40,40,173,2,2,0,0,1,,39,20,18,4,,3,33,14,7.47,3.25,4.13,1.34
330,Penn Murfee,CHW,0,40,40,173,2,2,0,0,1,,39,21,20,5,,2,37,15,8.36,3.49,4.46,1.35
331,Lucas Gilbreath,COL,0,48,48,215,2,3,0,0,1,,47,27,25,6,,4,44,25,8.3,4.62,4.73,1.49
332,Yosver Zulueta,CIN,0,53,53,235,3,3,0,0,6,,50,29,26,6,,5,53,26,8.97,4.38,4.5,1.43
333,Nick Frasso,LAD,0,17,17,72,1,1,0,0,1,,16,8,8,2,,1,16,5,8.49,2.89,4.05,1.27
334,Ray Kerr,ATL,0,8,8,34,1,0,0,0,1,,7,4,3,1,,0,9,3,10.46,3.86,3.75,1.32
335,Drew Rom,STL,0,12,12,51,1,1,0,0,1,,11,6,5,1,,1,11,4,8.23,3.13,3.82,1.29
