#,Name,Team,G,AB,PA,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,SB,CS,NSB,AVG,OBP,SLG,OPS,BABIP,K%,BB%,real_AB,real_PA,real_H,real_1B,real_2B,real_3B,real_HR,real_R,real_RBI,real_BB,real_IBB,real_SO,real_HBP,real_SF,real_SH,real_SB,real_CS,real_NSB,real_AVG,real_OBP,real_SLG,real_OPS,real_BABIP,real_K%,real_BB%,1B%,2B%,3B%,HR%,real_1B%,real_2B%,real_3B%,real_HR%,HIP,real_HIP
40,Christian Walker,ARI,147,584.9367909,661,144.6272285,86.77633712,29.99675851,2.142625608,25.71150729,79.27714749,89.99027553,63.20745543,2.142625608,140.3419773,7.499189627,5.356564019,1.071312804,2.142625608,1.071312804,1.071312804,0.248,0.325769854,0.437728938,0.763498792,0.28030303,21.23176661,9.562398703,582,661,150,79,36,2,33,86,103,62,3,127,8,8,0,11,0,11,0.258,0.333,0.497,0.83,0.272,19.2,9.4,0.7297297299047344,0.25225225230755677,0.01801801802316967,0.0388978930257186,0.6752136752136753,0.3076923076923077,0.017094017094017096,0.0499243570347957,118.91572121,117
41,Nathaniel Lowe,TEX,146,643.9479675,724,170.699187,114.1918699,29.43089431,3.531707317,23.54471545,88.29268293,83.58373984,70.63414634,3.531707317,161.2813008,4.708943089,4.708943089,0.0,4.708943089,1.177235772,3.531707317,0.266,0.339837398,0.431444241,0.77128164,0.317258883,22.27642276,9.756097561,623,724,163,105,38,3,17,89,82,93,2,165,5,3,0,1,0,1,0.262,0.36,0.414,0.775,0.329,22.8,12.8,0.7759999998450609,0.2,0.023999999998640886,0.0325203252071823,0.7191780821917808,0.2602739726027397,0.02054794520547945,0.0234806629834254,147.15447154999998,146
42,Brandon Nimmo,NYM,140,579.8110749,682,155.504886,107.742671,28.87947883,4.442996743,13.32899023,88.85993485,67.75570033,83.30618893,1.110749186,121.0716612,14.43973941,3.332247557,2.221498371,6.664495114,2.221498371,4.442996743,0.268,0.371941272,0.400383142,0.772324414,0.316831683,17.752443,12.21498371,592,682,162,102,30,6,24,89,68,74,0,146,11,4,1,3,3,0,0.274,0.363,0.466,0.829,0.324,21.4,10.9,0.7578124999071353,0.20312500001208889,0.031250000001318785,0.0195439739442815,0.7391304347826086,0.21739130434782608,0.043478260869565216,0.0351906158357771,142.17589577,138
43,Steven Kwan,CLE,142,639.6514658,718,177.7459283,132.1400651,32.74267101,4.67752443,7.016286645,85.36482085,67.82410423,64.31596091,2.338762215,72.50162866,7.016286645,4.67752443,2.338762215,15.2019544,3.508143322,11.69381107,0.277,0.348039216,0.374771481,0.722810696,0.302277433,10.09771987,8.957654723,638,718,171,123,36,7,5,93,54,70,2,75,3,6,1,21,3,18,0.268,0.34,0.37,0.71,0.294,10.4,9.7,0.7739726026428413,0.1917808219627403,0.027397260280391467,0.009771986970752,0.7409638554216867,0.21686746987951808,0.04216867469879518,0.0069637883008356,170.729641655,166
44,Adolis Garcia,TEX,144,581.3158756,632,134.4680851,77.57774141,27.92798691,3.103109656,25.85924714,77.57774141,75.50900164,38.27168576,1.034369885,187.2209493,6.206219313,4.137479542,1.034369885,16.54991817,5.171849427,11.37806874,0.23,0.28407225,0.423487544,0.707559794,0.291666667,29.62356792,6.055646481,555,632,136,68,29,0,39,108,107,65,0,175,6,6,0,9,1,8,0.245,0.328,0.508,0.836,0.28,27.7,10.3,0.7142857143777879,0.2571428571981013,0.028571428571428574,0.0409165302848101,0.7010309278350515,0.29896907216494845,0.0,0.0617088607594936,108.60883795999999,97
45,Shohei Ohtani,LAA,143,518.3464696,599,141.635468,76.71921182,27.54022989,2.950738916,34.42528736,96.3908046,88.52216749,70.81773399,9.835796388,153.4384236,4.917898194,3.934318555,0.0,20.65517241,5.901477833,14.75369458,0.274,0.363486842,0.537001898,0.90048874,0.320588235,25.61576355,11.8226601,497,599,151,73,26,8,44,102,95,91,21,143,3,3,0,20,6,14,0.304,0.412,0.654,1.066,0.342,23.9,15.2,0.7155963301434467,0.2568807339526557,0.027522935773312954,0.0574712643739565,0.6822429906542056,0.24299065420560748,0.07476635514018691,0.0734557595993322,107.21018064,107
46,Alec Bohm,PHI,148,562.8423645,611,153.5024631,108.3546798,28.09195402,2.006568144,15.04926108,71.23316913,69.22660099,38.12479475,0.0,112.3678161,4.013136289,5.016420361,1.003284072,4.013136289,1.003284072,3.009852217,0.272,0.320723684,0.409982175,0.730705859,0.314350797,18.3908046,6.239737274,558,611,153,102,31,0,20,74,97,42,1,94,5,6,0,4,1,3,0.274,0.327,0.437,0.765,0.296,15.4,6.9,0.7826086953507065,0.2028985506304291,0.014492753614395608,0.0246305418657937,0.7669172932330827,0.23308270676691728,0.0,0.0327332242225859,138.45320202,133
47,Ian Happ,CHC,145,606.620462,691,149.3745875,93.50165017,30.78712871,3.420792079,21.6650165,83.23927393,77.5379538,70.69636964,3.420792079,169.8993399,6.841584158,4.561056106,2.280528053,9.122112211,3.420792079,5.701320132,0.246,0.329470199,0.415413534,0.744883733,0.304347826,24.58745875,10.2310231,580,691,144,84,35,4,21,86,84,99,2,153,6,6,0,14,3,11,0.248,0.36,0.431,0.791,0.299,22.1,14.3,0.7321428569359145,0.24107142846795723,0.026785714275087497,0.0313531353111432,0.6829268292682927,0.2845528455284553,0.032520325203252036,0.0303907380607814,127.70957099999998,123
48,Eugenio Suarez,SEA,144,603.3785124,694,126.1818182,68.82644628,24.0892562,0.0,32.11900826,79.15041322,90.6214876,76.85619835,1.147107438,227.1272727,9.176859504,4.588429752,1.147107438,1.147107438,0.0,1.147107438,0.209,0.305785124,0.406844106,0.71262923,0.269736842,32.72727273,11.07438017,598,694,139,88,29,0,22,68,96,70,0,214,15,11,0,2,1,1,0.232,0.323,0.391,0.714,0.314,30.8,10.1,0.7317073168864766,0.25609756093152924,0.0,0.0462809917291066,0.7521367521367521,0.24786324786324787,0.0,0.031700288184438,94.06280994,117
49,Anthony Santander,BAL,141,593.1107438,656,144.2115702,81.32231405,29.27603306,1.084297521,31.4446281,78.06942149,92.16528926,48.79338843,2.168595041,129.031405,8.674380165,5.421487603,1.084297521,1.084297521,0.0,1.084297521,0.243,0.307438017,0.453382084,0.760820101,0.257425743,19.66942149,7.438016529,591,656,152,82,41,1,28,81,95,55,1,152,6,4,0,5,1,4,0.257,0.325,0.472,0.797,0.299,23.2,8.4,0.7211538464693369,0.25961538474669693,0.009615384622547107,0.0479338842987804,0.6612903225806451,0.33064516129032256,0.008064516129032258,0.0426829268292682,112.76694210000001,124
50,Ty France,SEA,140,593.4354305,665,155.2400662,107.897351,28.62582781,1.100993377,17.61589404,72.66556291,72.66556291,44.0397351,1.100993377,105.6953642,20.91887417,4.40397351,1.100993377,0.0,0.0,0.0,0.26,0.332225914,0.402597403,0.734823316,0.290023202,15.89403974,6.622516556,587,665,147,103,32,0,12,79,58,43,0,117,34,1,0,1,0,1,0.25,0.337,0.366,0.703,0.294,17.6,6.5,0.7840000001929893,0.20800000000523164,0.007999999997965473,0.0264900662255639,0.762962962962963,0.23703703703703705,0.0,0.0180451127819548,137.62417216,135
51,Alex Verdugo,BOS,143,547.1821192,602,152.4933775,106.6456954,31.89403974,2.990066225,10.96357616,70.76490066,63.78807947,45.84768212,2.990066225,81.72847682,3.986754967,4.983443709,0.0,3.986754967,0.996688742,2.990066225,0.279,0.336092715,0.408014572,0.744107287,0.30802603,13.57615894,7.61589404,546,602,144,89,37,5,13,81,54,45,1,93,6,5,0,5,3,2,0.264,0.324,0.421,0.745,0.294,15.4,7.5,0.753521126930736,0.22535211268600794,0.021126760559897213,0.0182119205315614,0.6793893129770993,0.2824427480916031,0.03816793893129771,0.021594684385382,141.52980134,131
53,Wander Franco,TBR,140,445.3255814,491,124.7890365,84.00830565,27.73089701,3.262458472,10.60299003,59.53986711,56.27740864,38.33388704,1.631229236,49.75249169,3.262458472,4.07807309,0.0,8.156146179,2.446843854,5.709302326,0.281,0.338870432,0.43040293,0.769273362,0.293501048,10.13289037,7.80730897,442,491,124,78,23,6,17,65,58,42,3,69,3,4,0,30,10,20,0.281,0.344,0.475,0.819,0.297,14.1,8.6,0.7357142860014111,0.24285714294597033,0.028571428583939483,0.0215946843788187,0.7289719626168224,0.21495327102803738,0.056074766355140186,0.0346232179226069,114.18604647,107
