#,Name,Team,G,AB,PA,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,SB,CS,NSB,AVG,OBP,SLG,OPS,BABIP,K%,BB%,real_AB,real_PA,real_H,real_1B,real_2B,real_3B,real_HR,real_R,real_RBI,real_BB,real_IBB,real_SO,real_HBP,real_SF,real_SH,real_SB,real_CS,real_NSB,real_AVG,real_OBP,real_SLG,real_OPS,real_BABIP,real_K%,real_BB%,1B%,2B%,3B%,HR%,real_1B%,real_2B%,real_3B%,real_HR%,HIP,real_HIP
1,Ronald Acuna Jr.,ATL,152,191.3117647,222,61.05,34.93235294,12.40588235,0.652941176,13.05882353,42.44117647,33.95294118,26.11764706,1.958823529,34.60588235,3.591176471,1.305882353,0.326470588,17.62941176,5.55,12.07941176,0.319,0.408223201,0.59556314,1.003786341,0.331081081,15.58823529,11.76470588,192,222,48,35,8,1,4,38,15,27,0,53,3,0,0,16,3,13,0.25,0.351,0.365,0.716,0.326,23.9,12.2,0.7278911564469926,0.258503401302427,0.013605442167231788,0.0588235294144144,0.7954545454545454,0.18181818181818182,0.022727272727272728,0.018018018018018,47.99117647,44
2,Marcus Semien,TEX,153,638.8088235,718,168.9411765,98.19705882,36.95588235,4.223529412,29.56470588,100.3088235,95.02941176,64.40882353,0.0,118.2588235,4.223529412,5.279411765,1.055882353,19.00588235,5.279411765,13.72647059,0.264,0.333333333,0.474380165,0.807713499,0.280851064,16.47058824,8.970588235,650,718,154,102,27,2,23,101,74,64,2,105,3,1,0,8,3,5,0.237,0.308,0.391,0.699,0.25,14.6,8.9,0.7045454543595615,0.2651515150699832,0.030303030297812256,0.0411764705849582,0.7786259541984732,0.20610687022900764,0.015267175572519083,0.032033426183844,139.37647062000002,131
3,Freddie Freeman,LAD,153,556.0118168,638,168.6883309,104.605613,36.75332349,2.82717873,24.50221566,96.12407681,90.46971935,69.73707533,7.539143279,98.95125554,8.481536189,3.76957164,0.94239291,14.13589365,4.711964549,9.423929099,0.303,0.387001477,0.511864407,0.898865884,0.330453564,15.50960118,10.93057607,542,638,153,94,35,2,22,81,89,78,9,100,10,8,0,9,2,7,0.282,0.378,0.476,0.854,0.306,15.7,12.2,0.7254901959587603,0.254901960766635,0.019607843135895,0.0384047267398119,0.7175572519083969,0.26717557251908397,0.015267175572519083,0.0344827586206896,144.18611524000002,131
4,Trea Turner,PHI,153,492.1304348,539,137.3763118,87.27436282,28.28335832,4.04047976,17.77811094,76.76911544,67.07196402,36.36431784,0.0,108.2848576,4.04047976,3.232383808,0.808095952,26.66716642,4.848575712,21.8185907,0.279,0.331825038,0.461412151,0.793237189,0.323851204,20.08995502,6.746626687,505,539,149,103,25,0,21,88,62,27,0,98,6,1,0,19,4,15,0.295,0.338,0.469,0.807,0.331,18.2,5.0,0.7297297299828295,0.23648648655767082,0.03378378379395297,0.0329835082374768,0.8046875,0.1953125,0.0,0.0389610389610389,119.59820085999999,128
5,Juan Soto,NYY,153,570.4,713,157.6105263,87.91879699,28.94887218,2.144360902,38.59849624,114.7233083,102.9293233,132.9503759,8.577443609,117.9398496,4.288721805,4.288721805,1.072180451,10.72180451,4.288721805,6.433082707,0.276,0.414156627,0.537593985,0.951750611,0.284615385,16.54135338,18.64661654,576,713,166,90,31,4,41,128,109,129,2,119,4,4,0,7,4,3,0.288,0.419,0.569,0.989,0.298,16.7,18.1,0.7387387388121661,0.24324324327049462,0.018018018018169414,0.054135338345021,0.72,0.248,0.032,0.0575035063113604,119.01203006,125
6,Austin Riley,ATL,153,416.1052632,469,117.7789474,65.58947368,23.27368421,2.115789474,26.8,69.82105263,76.16842105,41.61052632,3.526315789,109.3157895,7.052631579,3.526315789,0.0,1.410526316,0.705263158,0.705263158,0.282,0.355421687,0.542372881,0.897794568,0.320895522,23.30827068,8.872180451,425,469,109,62,26,2,19,63,56,37,0,118,5,2,0,0,0,0,0.256,0.322,0.461,0.783,0.31,25.2,7.9,0.7209302322616231,0.2558139533937936,0.023255813948887254,0.0571428571428571,0.6888888888888889,0.28888888888888886,0.022222222222222223,0.0405117270788912,90.97894740000001,90
7,Vladimir Guerrero Jr.,TOR,153,612.8974359,697,178.7179487,107.2307692,34.69230769,1.051282051,36.79487179,100.9230769,108.2820513,70.43589744,6.307692308,100.9230769,7.358974359,5.256410256,1.051282051,6.307692308,3.153846154,3.153846154,0.291,0.36858006,0.533447684,0.902027745,0.295404814,14.47963801,10.10558069,616,697,199,124,44,1,30,98,103,72,12,96,5,4,0,2,2,0,0.323,0.396,0.544,0.94,0.342,13.8,10.3,0.755555555408371,0.24444444445070762,0.00740740740610258,0.0527903469010043,0.7337278106508875,0.2603550295857988,0.005917159763313609,0.0430416068866571,141.92307691,169
8,Matt Olson,ATL,153,582.7149321,685,153.9441931,82.6546003,27.8959276,1.033182504,41.32730015,102.2850679,110.5505279,88.85369532,6.199095023,152.9110106,7.232277526,5.165912519,1.033182504,2.066365008,1.033182504,1.033182504,0.264,0.365558912,0.526595745,0.892154657,0.286089239,22.32277526,12.97134238,600,685,148,81,37,1,29,78,98,71,5,170,9,5,0,0,0,0,0.247,0.333,0.457,0.79,0.293,24.8,10.4,0.7339449538596065,0.24770642191651762,0.009174311925464997,0.0603318250364963,0.680672268907563,0.31092436974789917,0.008403361344537815,0.0423357664233576,112.61689295000001,119
9,Julio Rodriguez,SEA,151,550.9592145,613,155.5649547,93.52416918,29.63141994,3.703927492,28.70543807,94.45015106,80.56042296,49.07703927,5.555891239,143.5271903,9.259818731,2.777945619,0.925981873,31.48338369,7.407854985,24.0755287,0.282,0.349470499,0.505882353,0.855352852,0.332524272,23.41389728,8.006042296,567,613,155,118,17,0,20,76,68,38,1,156,6,2,0,24,5,19,0.273,0.325,0.409,0.734,0.344,25.4,6.2,0.7372262772589125,0.23357664231390193,0.029197080285296374,0.0468277945676998,0.8740740740740741,0.1259259259259259,0.0,0.032626427406199,126.85951662999999,135
10,Mookie Betts,LAD,149,442.6202723,516,127.2435703,71.81845688,28.10287443,2.341906203,24.98033283,81.9667171,77.28290469,62.45083207,2.341906203,79.62481089,6.245083207,3.903177005,0.780635401,10.14826021,3.903177005,6.245083207,0.287,0.38030303,0.530864198,0.911167228,0.299086758,15.4311649,12.10287443,450,516,130,82,24,5,19,75,75,61,2,57,1,4,0,16,2,14,0.289,0.372,0.491,0.863,0.294,11.0,11.8,0.7022900766374495,0.274809160410595,0.022900763372438928,0.0484114977325581,0.7387387387387387,0.21621621621621623,0.04504504504504504,0.0368217054263565,102.26323747,111
