#,Name,Team,G,AB,PA,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,SB,CS,NSB,AVG,OBP,SLG,OPS,BABIP,K%,BB%,real_AB,real_PA,real_H,real_1B,real_2B,real_3B,real_HR,real_R,real_RBI,real_BB,real_IBB,real_SO,real_HBP,real_SF,real_SH,real_SB,real_CS,real_NSB,real_AVG,real_OBP,real_SLG,real_OPS,real_BABIP,real_K%,real_BB%,1B%,2B%,3B%,HR%,real_1B%,real_2B%,real_3B%,real_HR%,HIP,real_HIP
1,Aaron Judge,NYY,156,386.4375,458.0,108.36607142857144,58.61309523809524,17.038690476190478,0.0,32.714285714285715,75.65178571428572,85.19345238095238,64.74702380952381,6.815476190476191,119.95238095238096,3.407738095238096,2.7261904761904763,0.0,6.133928571428571,1.363095238095238,4.770833333333334,0.28,0.385991058,0.578483245,0.964474303,0.319884726,26.19047619,14.13690476,367,458,98,45,16,0,37,79,75,88,9,130,0,3,0,3,1,2,0.267,0.406,0.613,1.019,0.3,28.4,19.2,0.7747747747747747,0.22522522522522523,0.0,0.0714285714285714,0.7377049180327869,0.26229508196721313,0.0,0.0807860262008733,75.65178571428572,61
2,Trea Turner,PHI,156,633.4166666666666,691.0,191.25892857142856,124.42113095238096,37.017857142857146,4.113095238095238,25.70684523809524,106.9404761904762,91.51636904761904,48.32886904761905,1.0282738095238095,124.42113095238096,4.113095238095238,4.113095238095238,0.0,27.763392857142858,4.113095238095238,23.65029761904762,0.301,0.353204173,0.49512987,0.848334043,0.339662447,18.00595238,6.994047619,639,691,170,104,35,5,26,102,76,45,2,150,6,1,0,30,0,30,0.266,0.32,0.459,0.778,0.31,21.7,6.5,0.7515527950310561,0.22360248447204972,0.02484472049689441,0.0372023809523809,0.7222222222222222,0.24305555555555555,0.034722222222222224,0.0376266280752532,165.55208333333331,144
3,Nolan Arenado,STL,156,550.9821428571429,612.0,150.26785714285714,88.33928571428571,35.51785714285714,0.9107142857142856,25.5,68.30357142857143,93.80357142857144,51.0,3.642857142857143,74.67857142857143,6.375,3.642857142857143,0.0,3.642857142857143,1.821428571428572,1.821428571428572,0.273,0.339285714,0.479338843,0.818624557,0.274549098,12.20238095,8.333333333,560,612,149,95,26,2,26,71,93,41,5,101,3,8,0,3,3,0,0.266,0.315,0.459,0.774,0.279,16.5,6.7,0.708029197080292,0.2846715328467153,0.0072992700729927,0.0416666666666666,0.7723577235772358,0.21138211382113822,0.016260162601626018,0.0424836601307189,124.76785714285714,123
4,Francisco Lindor,NYM,156,610.3258928571429,687.0,155.39285714285714,98.14285714285714,27.602678571428573,3.0669642857142856,26.580357142857142,95.07589285714286,94.05357142857144,61.33928571428572,4.089285714285714,120.63392857142856,7.15625,5.111607142857143,2.044642857142857,13.290178571428571,5.111607142857143,8.178571428571429,0.255,0.32735426,0.440536013,0.767890273,0.27510917,17.55952381,8.928571429,602,687,153,87,33,2,31,108,98,66,1,137,12,7,0,31,4,27,0.254,0.336,0.47,0.806,0.277,19.9,9.6,0.7619047619047619,0.2142857142857143,0.023809523809523808,0.0386904761904761,0.7131147540983607,0.27049180327868855,0.01639344262295082,0.0451237263464337,128.8125,122
5,Austin Riley,ATL,156,636.264880952381,715.0000000000001,175.55803571428572,97.88690476190476,36.17559523809524,2.1279761904761907,39.367559523809526,100.01488095238096,117.03869047619048,59.58333333333334,2.1279761904761907,173.43005952380955,13.83184523809524,5.319940476190476,0.0,1.0639880952380951,1.0639880952380951,0.0,0.276,0.348214286,0.525083612,0.873297898,0.317617866,24.25595238,8.333333333,636,715,179,107,32,3,37,117,97,59,4,172,9,11,0,3,1,2,0.281,0.345,0.516,0.861,0.324,24.1,8.3,0.7187499999999999,0.265625,0.015625,0.0550595238095238,0.7535211267605634,0.22535211267605634,0.02112676056338028,0.0517482517482517,136.1904761904762,142
6,Marcus Semien,TEX,156,676.8035714285713,752.9999999999999,179.28571428571428,105.33035714285714,36.97767857142857,4.482142857142857,31.375,112.05357142857142,88.52232142857142,68.35267857142857,0.0,129.98214285714283,3.3616071428571423,4.482142857142857,0.0,17.928571428571427,5.602678571428571,12.325892857142856,0.264,0.333333333,0.470198675,0.803532009,0.284482759,17.26190476,9.077380952,670,753,185,112,40,4,29,122,100,72,1,110,5,5,0,14,3,11,0.276,0.348,0.478,0.826,0.291,14.6,9.6,0.7121212121212122,0.25,0.0303030303030303,0.0416666666666666,0.717948717948718,0.2564102564102564,0.02564102564102564,0.0385126162018592,147.91071428571428,156
7,Rafael Devers,BOS,156,593.5238095238095,656.0,171.8095238095238,95.66666666666666,41.97619047619048,1.9523809523809523,33.19047619047619,102.5,111.28571428571428,53.69047619047619,8.785714285714285,123.97619047619048,5.857142857142857,2.9285714285714284,0.0,3.9047619047619047,2.9285714285714284,0.9761904761904762,0.29,0.352678571,0.536184211,0.888862782,0.315555556,18.89880952,8.18452381,580,656,157,90,34,0,33,90,100,62,10,126,11,3,0,5,1,4,0.271,0.351,0.5,0.851,0.292,19.2,9.5,0.6901408450704226,0.3028169014084508,0.014084507042253523,0.050595238095238,0.7258064516129032,0.27419354838709675,0.0,0.0503048780487804,138.6190476190476,124
8,Manny Machado,SDP,156,533.9241071428572,601.0,142.20089285714286,87.64583333333334,26.830357142857142,0.8943452380952381,26.830357142857142,83.17410714285715,90.32886904761904,59.02678571428572,8.049107142857142,113.58184523809524,1.7886904761904765,5.366071428571429,0.0,8.049107142857142,1.7886904761904765,6.260416666666667,0.266,0.338301043,0.470686767,0.80898781,0.289237668,18.89880952,9.821428571,543,601,140,89,21,0,30,75,91,50,1,109,2,6,0,3,2,1,0.258,0.319,0.462,0.782,0.268,18.1,8.3,0.7596899224806202,0.2325581395348837,0.007751937984496124,0.0446428571428571,0.8090909090909091,0.19090909090909092,0.0,0.0499168053244592,115.37053571428572,110
9,Freddie Freeman,LAD,156,634.4047619047618,730.0,185.75892857142856,117.32142857142856,36.93452380952381,2.1726190476190474,30.416666666666664,117.32142857142856,119.4940476190476,85.81845238095238,13.035714285714285,112.97619047619048,6.517857142857142,3.258928571428571,0.0,9.776785714285714,2.1726190476190474,7.604166666666666,0.293,0.380952381,0.503424658,0.884377038,0.314285714,15.47619048,11.75595238,637,730,211,121,59,2,29,131,102,72,12,121,16,5,0,23,1,22,0.331,0.41,0.567,0.976,0.37,16.6,9.9,0.7552447552447552,0.2377622377622378,0.013986013986013986,0.0416666666666666,0.6648351648351648,0.3241758241758242,0.01098901098901099,0.0397260273972602,155.3422619047619,182
10,Paul Goldschmidt,STL,156,600.1026785714286,687.0,164.59375,100.1875,34.75892857142857,1.0223214285714286,28.625,98.14285714285714,105.29910714285715,77.69642857142857,1.0223214285714286,151.30357142857144,4.089285714285714,4.089285714285714,0.0,7.15625,1.0223214285714286,6.133928571428571,0.275,0.359165425,0.478705281,0.837870706,0.320481928,22.02380952,11.30952381,593,687,159,103,31,0,25,89,80,87,6,161,3,3,0,11,2,9,0.268,0.363,0.447,0.81,0.327,23.4,12.7,0.7368421052631579,0.2556390977443609,0.0075187969924812035,0.0416666666666666,0.7686567164179104,0.23134328358208955,0.0,0.0363901018922852,135.96875,134
11,Matt Olson,ATL,156,621.4285714285714,720.0,160.71428571428572,82.5,38.57142857142857,0.0,39.64285714285714,96.42857142857144,121.07142857142856,84.64285714285714,8.571428571428571,157.5,8.571428571428571,5.357142857142857,0.0,1.0714285714285714,1.0714285714285714,0.0,0.259,0.352678571,0.512068966,0.864747537,0.281795511,21.875,11.75595238,608,720,172,88,27,3,54,127,139,104,8,167,4,4,0,1,0,1,0.283,0.389,0.604,0.993,0.302,23.2,14.4,0.6814159292035398,0.3185840707964601,0.0,0.0550595238095238,0.7457627118644068,0.2288135593220339,0.025423728813559324,0.075,121.07142857142858,118
12,Juan Soto,SDP,154,552.5593984962406,708.0,150.1172932330827,91.5609022556391,25.55187969924812,2.129323308270677,30.875187969924813,113.9187969924812,89.43157894736842,149.05263157894737,12.77593984962406,108.59548872180451,3.193984962406016,3.193984962406016,0.0,9.581954887218046,3.193984962406016,6.387969924812031,0.272,0.427067669,0.493256262,0.920323931,0.286445013,15.33834586,21.05263158,568,708,156,88,32,1,35,97,109,132,11,129,2,5,1,12,5,7,0.275,0.41,0.519,0.93,0.296,18.2,18.6,0.7678571428571429,0.21428571428571427,0.01785714285714286,0.0436090225563909,0.7272727272727273,0.2644628099173554,0.008264462809917356,0.0494350282485875,119.2421052631579,121
13,Alex Bregman,HOU,154,605.3293233082707,723.9999999999999,165.48571428571427,96.89624060150376,40.282706766917286,1.088721804511278,27.21804511278195,104.5172932330827,111.04962406015036,100.1624060150376,2.177443609022556,87.09774436090225,10.887218045112782,8.709774436090225,0.0,2.177443609022556,1.088721804511278,1.088721804511278,0.273,0.381381381,0.478417266,0.859798648,0.276688453,12.03007519,13.83458647,622,724,163,106,28,4,25,103,98,92,1,87,8,2,0,3,1,2,0.262,0.363,0.441,0.804,0.27,12.0,12.7,0.7007874015748033,0.2913385826771654,0.007874015748031498,0.037593984962406,0.7681159420289855,0.2028985507246377,0.028985507246376812,0.0345303867403314,138.2676691729323,138
14,Matt Chapman,TOR,154,501.4947368421053,581.0,117.94736842105264,63.77894736842106,24.463157894736845,1.7473684210526317,27.957894736842107,80.37894736842105,80.37894736842105,66.4,0.0,161.63157894736844,7.863157894736842,5.242105263157895,0.0,1.7473684210526317,1.7473684210526317,0.0,0.236,0.330827068,0.458188153,0.789015221,0.283746556,27.81954887,11.42857143,509,581,122,64,39,2,17,66,54,62,1,165,8,2,0,4,2,2,0.24,0.33,0.424,0.755,0.319,28.4,10.7,0.7087378640776699,0.27184466019417475,0.019417475728155338,0.0481203007518797,0.6095238095238096,0.37142857142857144,0.01904761904761905,0.0292598967297762,89.98947368421054,105
15,Dansby Swanson,CHC,154,576.5984962406014,638.0,149.66616541353383,94.98045112781956,29.741353383458645,1.918796992481203,23.02556390977444,87.30526315789473,82.50827067669172,51.80751879699248,0.9593984962406016,155.42255639097743,4.796992481203008,4.796992481203008,0.0,11.512781954887217,3.837593984962406,7.675187969924812,0.259,0.323308271,0.437603993,0.760912264,0.314285714,24.36090226,8.120300752,565,638,138,88,25,3,22,81,80,66,0,154,5,2,0,9,1,8,0.244,0.328,0.416,0.744,0.297,24.1,10.3,0.7500000000000001,0.23484848484848483,0.01515151515151515,0.0360902255639097,0.7586206896551724,0.21551724137931033,0.02586206896551724,0.0344827586206896,126.6406015037594,116
16,Pete Alonso,NYM,154,572.9052631578948,658.0,149.41052631578947,82.12631578947368,27.70526315789473,0.9894736842105264,38.589473684210525,87.07368421052631,113.78947368421052,66.29473684210527,9.894736842105264,131.6,13.852631578947369,4.947368421052632,0.0,2.968421052631579,0.9894736842105264,1.9789473684210528,0.261,0.34887218,0.514680484,0.863552664,0.27184466,20.0,10.07518797,568,658,123,54,21,2,46,92,118,65,6,151,21,4,0,4,1,3,0.217,0.318,0.504,0.821,0.205,22.9,9.9,0.7410714285714286,0.24999999999999997,0.00892857142857143,0.0586466165413533,0.7012987012987013,0.2727272727272727,0.025974025974025976,0.0699088145896656,110.82105263157894,77
17,Bryan Reynolds,PIT,154,563.9699248120301,640.0,153.98496240601503,96.2406015037594,28.87218045112781,4.81203007518797,23.09774436090225,83.72932330827066,69.29323308270676,63.5187969924812,4.81203007518797,136.66165413533832,9.62406015037594,2.887218045112782,0.0,4.81203007518797,2.887218045112782,1.924812030075188,0.272,0.354887218,0.462457338,0.817344556,0.321513002,21.35338346,9.92481203,574,640,151,91,31,5,24,85,84,53,2,138,7,6,0,12,1,11,0.263,0.33,0.46,0.79,0.304,21.6,8.3,0.7352941176470589,0.22058823529411759,0.03676470588235294,0.0360902255639097,0.7165354330708661,0.2440944881889764,0.03937007874015748,0.0375,130.88721804511277,127
