#,Name,Team,G,AB,PA,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,SB,CS,AVG
288,Jordan Walker,STL,131,516,567,126,79,26,3,18,55,68,40,0,131,7,4,0,6,3,0.244
289,Andy Pages,LAD,44,168,189,42,24,9,1,8,26,26,15,0,48,4,2,0,1,1,0.247
290,Rob Refsnyder,BOS,50,189,217,50,32,11,1,6,25,27,22,1,55,4,1,0,2,1,0.264
291,Javier Báez,DET,79,320,343,74,50,13,2,9,38,40,16,1,87,5,2,0,8,1,0.231
292,Jonah Bride,MIA,91,332,392,80,53,17,1,9,42,46,48,0,73,7,5,1,1,1,0.24
293,Kyle Teel,CHW,45,159,179,39,29,7,0,3,24,17,17,0,45,1,1,0,3,1,0.244
294,Christopher Morel,TBR,115,442,497,102,61,18,3,21,61,67,46,2,137,5,3,1,8,4,0.231
295,Jared Triolo,PIT,55,212,238,52,37,10,1,4,26,24,22,0,59,2,2,0,5,1,0.246
296,Paul DeJong,WSN,79,313,343,67,40,13,0,14,37,40,21,0,105,5,3,0,2,2,0.213
297,José Tena,WSN,75,299,322,77,53,14,2,7,36,36,18,0,88,2,2,2,7,3,0.257
298,Jake Fraley,CIN,104,400,448,101,70,18,1,11,49,50,41,1,89,5,2,0,20,5,0.252
299,Jordan Lawlar,ARI,52,199,224,45,31,9,1,4,27,24,18,0,55,4,2,1,8,2,0.226
300,Oswald Peraza,NYY,50,196,217,46,32,7,0,6,27,27,16,0,52,4,0,0,8,3,0.233
301,Christian Encarnacion-Strand,CIN,84,336,364,87,51,18,2,16,46,59,21,1,103,5,2,0,2,1,0.257
302,Tyler Black,MIL,53,200,231,46,30,8,3,5,28,27,25,0,54,5,1,0,8,2,0.23
303,Juan Brito,CLE,62,233,266,54,34,14,0,6,32,29,27,0,49,3,2,1,3,2,0.232
304,Mickey Moniak,LAA,66,269,287,63,38,12,3,11,32,37,14,1,84,3,1,0,5,2,0.235
305,Yasmani Grandal,,36,122,141,28,20,4,0,4,13,13,17,0,29,1,1,0,0,0,0.231
306,Agustin Ramirez,MIA,65,238,263,57,36,12,1,9,33,32,21,1,55,3,2,0,5,1,0.241
307,Donovan Solano,SEA,83,323,357,82,61,15,0,5,31,31,24,1,82,7,2,0,1,0,0.252
308,Joey Gallo,CHW,53,194,231,35,16,6,1,12,27,26,34,1,87,2,1,0,2,1,0.179
309,Richie Palacios,TBR,78,290,336,69,48,15,2,5,43,34,38,1,60,5,2,1,11,2,0.238
310,Wenceel Pérez,DET,87,343,378,82,55,15,5,7,49,38,30,0,78,2,2,1,9,3,0.238
311,Davis Schneider,TOR,45,169,196,37,20,9,1,7,23,24,23,0,57,2,2,0,2,0,0.219
312,Justin Turner,CHC,83,311,357,78,55,16,0,8,41,38,34,1,66,7,4,0,1,1,0.252
313,Jose Miranda,MIN,89,356,385,95,63,21,2,10,40,47,22,1,61,6,2,0,2,1,0.267
314,Caleb Durbin,MIL,49,184,210,43,29,10,1,4,27,24,17,1,24,6,1,2,10,2,0.236
315,Jon Berti,CHC,42,163,182,40,30,6,1,3,22,15,15,1,42,2,1,1,9,2,0.245
316,Connor Joe,SDP,57,213,245,49,31,12,1,5,29,22,27,0,55,4,1,0,1,1,0.231
317,Edmundo Sosa,PHI,41,159,175,40,26,7,2,4,23,19,7,0,41,7,1,1,4,1,0.248
318,Edgar Quero,CHW,39,136,154,33,23,5,0,4,14,18,13,0,30,3,1,0,0,0,0.238
319,Austin Slater,CHW,49,182,210,43,31,7,1,5,26,19,23,0,60,3,2,0,5,2,0.238
