#,Name,Team,GS,G,IP,TBF,W,L,QS,SV,HLD,BS,H,R,ER,HR,IBB,HBP,SO,BB,K/9,BB/9,ERA,WHIP
273,Greg Weissert,BOS,0,55,69,298,2,2,0,0,12,,64,37,34,9,2,4,65,27,8.52,3.54,4.45,1.32
274,Kyle Finnegan,,0,53,66,284,3,3,0,7,0,,63,35,33,9,2,3,62,25,8.43,3.42,4.45,1.33
275,Adam Cimber,,0,21,26,111,1,1,0,0,0,,25,13,12,3,1,2,22,7,7.49,2.57,4.14,1.26
276,Devin Sweet,PHI,0,27,34.1,146,1,1,0,0,1,,30,17,16,5,1,2,39,13,10.13,3.41,4.24,1.25
277,Tom Cosgrove,SDP,0,32,39.2,169,1,1,0,0,1,,35,19,18,5,1,2,38,15,8.66,3.49,4.01,1.26
278,Luis Contreras,HOU,0,29,36.1,154,1,1,0,0,1,,30,18,16,5,1,2,40,16,9.91,3.85,4.08,1.25
279,Luis Frías,CLE,0,21,25.2,110,1,1,0,0,1,,22,12,12,3,1,1,25,11,8.88,3.93,4.08,1.31
280,Julian Merryweather,CHC,0,48,60.1,261,2,1,0,0,4,,58,33,30,8,1,3,59,23,8.78,3.48,4.53,1.35
281,Justin Wrobleski,LAD,1,16,22.2,98,1,1,0,0,1,,21,12,11,3,0,1,22,8,8.68,3.35,4.26,1.31
282,Drew Rom,STL,0,10,11.2,50,0,0,0,0,1,,11,5,4,1,0,0,12,4,9.09,2.88,3.39,1.22
283,Peter Strzelecki,PIT,0,30,37,162,1,1,0,0,1,,37,21,20,5,1,2,36,14,8.66,3.46,4.77,1.37
284,Carlos Hernández,KCR,0,36,44.1,193,1,1,0,0,1,,40,23,22,6,1,2,42,19,8.59,3.84,4.44,1.33
285,Luinder Avila,KCR,0,17,21.1,92,1,0,0,0,0,,19,10,9,2,1,1,19,9,7.97,3.63,3.82,1.29
286,Jacob Latz,TEX,0,50,62,267,2,1,0,0,9,,52,31,29,8,2,3,64,29,9.23,4.27,4.2,1.32
287,Derek Law,WSN,0,68,84.1,368,3,3,0,9,12,,86,47,43,10,2,4,69,31,7.35,3.35,4.65,1.4
288,Seth Martinez,ARI,0,41,51.2,224,2,1,0,0,10,,50,28,26,6,1,3,42,20,7.3,3.51,4.58,1.36
289,Jonathan Bowlan,KCR,1,19,23,99,1,1,0,0,1,,23,12,12,3,1,1,21,8,8.08,2.97,4.55,1.33
290,J.B. Bukauskas,MIL,0,19,23.1,100,1,1,0,0,0,,20,11,10,2,1,1,23,10,8.82,3.96,3.84,1.3
291,Zack Kelly,BOS,0,34,41.2,181,1,1,0,0,1,,36,21,19,5,1,3,42,19,9.03,4.17,4.17,1.33
