#,Name,Team,G,AB,PA,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,SB,CS,AVG
58,Isaac Paredes,HOU,141,520,609,126,80,25,1,20,75,70,71,2,98,13,5,0,2,1,0.242
59,Marcus Semien,TEX,154,599,665,145,93,28,3,21,78,75,59,1,107,3,4,0,11,3,0.242
60,Matt McLain,CIN,138,521,595,129,75,27,3,23,77,74,61,2,161,9,4,0,23,6,0.247
61,Francisco Alvarez,NYM,123,429,488,102,59,20,1,23,63,71,48,2,119,6,4,0,2,1,0.238
62,Xander Bogaerts,SDP,149,582,644,153,108,27,1,17,69,65,52,2,116,5,5,0,15,4,0.264
63,Byron Buxton,MIN,118,461,511,115,59,25,2,28,68,82,37,2,141,9,4,0,10,2,0.249
64,Yandy Díaz,TBR,151,574,651,165,115,32,1,17,79,72,67,3,98,6,4,0,2,1,0.287
65,Christian Walker,HOU,149,571,644,140,79,29,1,31,79,95,60,2,146,8,5,0,4,2,0.246
66,James Wood,WSN,139,530,602,141,86,30,3,22,74,70,64,2,161,3,5,0,20,4,0.266
67,Alex Bregman,BOS,157,599,679,156,101,32,2,20,83,78,68,2,90,7,5,0,4,1,0.26
68,Austin Wells,NYY,120,417,475,96,57,21,1,17,57,61,48,1,110,5,5,0,4,1,0.229
69,Steven Kwan,CLE,156,593,672,165,124,28,5,8,81,49,67,2,64,5,5,2,18,5,0.279
70,Gleyber Torres,DET,152,584,658,153,106,29,1,17,71,65,64,2,117,4,6,1,9,4,0.263
71,Patrick Bailey,SFG,128,455,506,104,71,22,1,11,50,47,43,0,122,2,5,1,3,1,0.23
72,CJ Abrams,WSN,139,546,602,141,91,29,4,17,69,62,36,1,115,13,5,2,33,10,0.259
73,Ezequiel Tovar,COL,159,641,686,168,103,38,4,23,71,76,30,0,174,5,6,4,11,4,0.263
74,Jose Altuve,HOU,152,593,658,159,108,30,1,20,76,76,55,2,114,7,3,0,19,6,0.267
75,Colton Cowser,BAL,130,485,560,119,73,24,2,20,72,70,61,2,167,8,5,0,10,3,0.245
76,Mark Vientos,NYM,154,602,665,145,86,27,1,32,82,98,52,2,192,5,6,0,0,0,0.241
77,Jordan Westburg,BAL,133,521,574,130,78,29,3,20,75,75,41,1,134,7,4,1,10,2,0.25
78,Christopher Morel,TBR,115,442,497,109,60,21,3,24,67,72,46,2,136,5,4,1,9,3,0.247
79,Teoscar Hernández,LAD,151,594,651,156,92,29,1,33,87,106,47,2,186,7,4,0,10,3,0.262
