#,Name,Team,GS,G,IP,TBF,W,L,QS,SV,HLD,BS,H,R,ER,HR,IBB,HBP,SO,BB,K/9,BB/9,ERA,WHIP
79,José Quijada,LAA,0,61,61,260,3,5,,1,12,,48,29,27,5,,3,70,32,10.34,4.79,4.03,1.32
80,Bryan Hudson,MIL,0,60,60,247,4,3,,1,11,,48,25,23,7,,3,65,22,9.7,3.23,3.52,1.16
81,Robert Suarez,SDP,0,65,65,266,6,5,,28,4,,56,30,27,7,,2,62,22,8.54,3.07,3.76,1.2
82,Joe Mantiply,ARI,0,59,59,247,5,4,,0,11,,56,25,22,5,,1,52,16,7.87,2.5,3.4,1.23
83,Jacob Webb,TEX,0,62,62,263,3,4,,1,15,,52,31,29,7,,2,66,28,9.59,4,4.16,1.28
84,Derek Law,WSN,0,72,72,311,5,4,,12,12,,71,33,31,7,,2,61,26,7.64,3.29,3.82,1.35
85,Braxton Ashcraft,PIT,6,34,55,234,2,2,,0,1,,57,27,25,7,,1,45,12,7.33,2,4,1.25
86,Justin Slaten,BOS,0,65,65,279,5,5,,2,15,,62,31,29,8,,1,69,24,9.54,3.29,3.95,1.32
87,Nick Mears,MIL,0,59,59,256,4,2,,0,11,,48,28,25,6,,1,73,29,11.2,4.41,3.86,1.31
88,Colin Holderman,PIT,0,62,62,265,5,3,,3,13,,54,29,27,6,,5,62,26,9,3.76,3.93,1.29
89,Gregory Soto,BAL,0,59,59,254,5,3,,0,10,,49,26,24,4,,4,68,26,10.31,3.93,3.6,1.27
90,Kenley Jansen,,0,60,60,247,4,4,,0,0,,52,27,25,7,,1,66,22,9.88,3.35,3.73,1.24
91,Alex Vesia,LAD,0,55,55,224,4,3,,0,11,,40,22,20,6,,2,72,24,11.7,3.9,3.32,1.16
92,Declan Cronin,MIA,0,67,67,295,3,3,,1,13,,66,31,29,5,,5,59,26,7.89,3.46,3.88,1.37
93,Erik Miller,SFG,0,61,61,265,4,3,,1,12,,48,28,26,5,,2,76,35,11.16,5.13,3.77,1.36
94,Jose A. Ferrer,WSN,0,62,62,266,2,4,,10,11,,61,30,28,6,,4,49,19,7.13,2.72,4.08,1.28
95,José Leclerc,ATH,0,64,64,274,4,4,,3,13,,51,31,28,7,,3,76,33,10.73,4.6,3.99,1.31
96,Yimi García,TOR,0,61,61,254,4,4,,3,14,,53,28,25,8,,4,66,20,9.72,2.92,3.69,1.19
97,Hoby Milner,TEX,0,58,58,243,2,3,,0,11,,54,28,26,6,,3,53,15,8.24,2.26,4.04,1.18
98,Joel Payamps,MIL,0,61,61,252,6,4,,2,13,,52,26,24,7,,3,60,21,8.85,3.05,3.51,1.19
99,Ryan Thompson,ARI,0,63,63,261,7,5,,0,13,,60,26,24,6,,2,50,17,7.16,2.44,3.42,1.23
100,JoJo Romero,STL,0,61,61,255,6,4,,1,12,,54,27,24,7,,3,61,20,9,2.95,3.6,1.22
101,Liam Hendriks,BOS,0,61,61,257,5,5,,22,6,,57,29,28,10,,2,71,21,10.5,3.1,4.06,1.27
102,Seranthony Domínguez,BAL,0,62,62,258,6,3,,3,12,,52,28,25,7,,1,66,27,9.64,3.86,3.7,1.27
103,AJ Smith-Shawver,ATL,8,43,68,286,4,4,,0,1,,61,34,31,9,,1,68,28,9.09,3.69,4.11,1.31
104,Matthew Liberatore,STL,5,65,84,361,5,4,,2,12,,79,42,39,10,,5,77,31,8.21,3.35,4.15,1.31
105,Jared Koenig,MIL,0,62,62,266,5,5,,2,12,,57,29,27,7,,3,58,23,8.41,3.36,3.92,1.3
106,Andrew Kittredge,BAL,0,66,66,270,6,5,,2,13,,62,29,26,9,,1,60,16,8.17,2.2,3.61,1.19
107,Landen Roupp,SFG,5,51,69,294,3,3,,0,1,,63,33,30,7,,2,66,28,8.54,3.69,3.92,1.32
108,Andrew Nardi,MIA,0,58,58,246,3,3,,1,10,,49,26,24,8,,3,73,23,11.38,3.57,3.74,1.25
109,Tayler Scott,HOU,0,65,65,278,6,3,,1,16,,57,28,26,7,,3,67,28,9.27,3.93,3.61,1.31
110,Ben Brown,CHC,3,31,44,183,3,2,,0,1,,36,20,18,5,,2,46,17,9.58,3.51,3.74,1.22
111,José Suarez,LAA,2,64,72,312,3,4,,0,12,,69,38,35,9,,4,69,27,8.66,3.41,4.42,1.34
112,Greg Weissert,BOS,0,60,60,259,3,3,,0,12,,57,28,26,6,,3,59,23,8.81,3.43,3.88,1.33
113,Caleb Thielbar,CHC,0,56,56,238,4,4,,0,10,,50,25,23,6,,1,61,19,9.77,3.12,3.74,1.25
114,Chad Green,TOR,0,63,63,256,6,5,,5,12,,55,29,26,9,,1,59,19,8.46,2.7,3.78,1.18
115,Manuel Rodríguez,TBR,0,61,61,259,4,4,,2,13,,54,28,25,6,,6,58,23,8.63,3.42,3.74,1.27
116,Shawn Armstrong,TEX,0,61,61,264,2,3,,1,12,,60,32,30,8,,3,58,20,8.56,2.91,4.36,1.31
117,Elvis Peguero,MIL,0,56,56,242,6,4,,0,9,,50,26,24,5,,3,52,23,8.39,3.66,3.81,1.31
118,Danny Coulombe,MIN,0,51,51,207,3,3,,0,4,,45,20,18,5,,1,51,14,9.07,2.56,3.26,1.16
119,Trent Thornton,SEA,0,67,67,280,3,3,,0,14,,62,29,27,9,,3,66,18,8.85,2.47,3.63,1.19
120,Tyson Miller,CHC,0,62,62,259,4,3,,1,12,,55,28,26,7,,4,57,20,8.35,2.92,3.76,1.21
121,John King,STL,0,59,59,251,4,3,,0,12,,62,25,23,5,,2,38,15,5.82,2.24,3.58,1.29
122,Sam Moll,CIN,0,59,59,251,4,4,,0,11,,51,31,28,6,,5,59,25,8.94,3.89,4.28,1.3
123,Bobby Miller,LAD,3,42,56,236,3,3,,0,1,,51,29,27,7,,3,50,20,8.14,3.19,4.36,1.27
124,Joe Kelly,,0,40,40,175,2,2,,0,0,,34,20,19,4,,4,46,20,10.41,4.5,4.22,1.34
125,Gabe Speier,SEA,0,58,58,244,3,1,,0,10,,51,25,24,7,,4,62,18,9.61,2.86,3.68,1.2
126,Tony Santillan,CIN,0,60,60,261,4,6,,1,12,,52,32,30,8,,5,70,29,10.45,4.33,4.48,1.34
127,Nic Enright,CLE,0,52,52,216,4,4,,0,5,,46,22,21,6,,1,55,15,9.48,2.53,3.58,1.17
128,Porter Hodge,CHC,0,63,63,272,4,4,,11,10,,52,30,28,6,,5,68,30,9.73,4.35,3.97,1.31
129,Garrett Cleavinger,TBR,0,63,63,272,6,6,,3,15,,52,30,28,7,,6,74,29,10.5,4.17,4,1.3
130,Carmen Mlodzinski,PIT,0,61,61,262,4,5,,1,12,,57,29,27,6,,3,53,24,7.83,3.53,3.91,1.33
131,Kevin Kelly,TBR,0,53,53,217,3,2,,0,5,,46,22,20,5,,6,49,12,8.25,1.97,3.41,1.09
132,Beau Brieske,DET,0,66,66,279,3,4,,10,10,,60,33,30,8,,2,61,24,8.27,3.26,4.14,1.27
133,Adam Ottavino,,0,47,47,201,3,2,,0,0,,39,23,21,5,,6,51,21,9.72,3.96,3.96,1.28
134,Ryan Burr,TOR,0,50,50,209,3,2,,0,4,,43,20,19,6,,1,57,17,10.27,3.04,3.42,1.21
135,Tylor Megill,NYM,3,50,63,274,3,3,,0,1,,59,33,31,8,,3,63,25,9.05,3.59,4.37,1.34
136,Taylor Rogers,CIN,0,62,62,272,4,4,,3,13,,58,35,32,10,,5,73,26,10.62,3.78,4.68,1.36
137,Andrew Chafin,,0,54,54,233,3,3,,0,0,,46,27,25,6,,1,60,27,10.08,4.5,4.14,1.36
138,Jonathan Loáisiga,NYY,0,48,48,197,6,3,,0,1,,43,18,17,3,,2,40,12,7.42,2.28,3.23,1.14
139,Slade Cecconi,CLE,3,49,64,267,3,4,,0,1,,62,34,31,9,,3,55,15,7.81,2.19,4.37,1.21
140,Dane Dunning,TEX,3,63,78,338,4,5,,0,5,,76,43,40,11,,5,69,28,7.96,3.18,4.63,1.33
141,Jordan Wicks,CHC,5,26,41,178,2,2,,0,1,,40,21,20,5,,1,36,14,7.79,3.1,4.27,1.3
142,Paul Sewald,CLE,0,59,59,238,4,3,,1,12,,48,27,24,9,,3,67,19,10.21,2.89,3.66,1.13
143,Victor Vodnik,COL,0,66,66,294,3,5,,3,11,,64,36,33,7,,2,62,33,8.44,4.5,4.5,1.47
144,Jhony Brito,SDP,3,39,54,230,4,3,,0,1,,54,27,25,7,,2,39,15,6.55,2.56,4.19,1.28
145,Sean Reid-Foley,NYM,0,49,49,213,3,3,,0,4,,40,23,21,4,,0,58,28,10.63,5.19,3.89,1.38
146,Scott Alexander,,0,44,44,185,3,3,,0,0,,43,20,19,4,,2,33,14,6.76,2.83,3.92,1.28
147,Erik Sabrowski,CLE,0,57,57,247,6,4,,0,11,,48,25,23,6,,1,67,30,10.53,4.77,3.62,1.37
148,Craig Kimbrel,,0,56,56,239,7,6,,0,0,,45,28,25,7,,5,69,29,11.09,4.62,4.07,1.31
149,Dedniel Núñez,NYM,0,51,51,213,3,2,,0,7,,43,22,20,5,,0,59,19,10.35,3.33,3.51,1.21
150,Matt Brash,SEA,0,48,48,206,4,2,,0,1,,38,18,17,4,,2,62,22,11.71,4.15,3.11,1.25
151,Jorge Alcala,MIN,0,60,60,245,3,4,,1,12,,51,29,27,8,,2,62,23,9.3,3.45,4.05,1.23
152,Louie Varland,MIN,2,56,63,269,4,4,,0,7,,62,33,30,8,,2,59,19,8.43,2.69,4.32,1.29
153,Julian Merryweather,CHC,0,52,52,226,3,3,,0,4,,45,23,22,5,,3,59,22,10.18,3.79,3.79,1.29
154,Mark Leiter Jr.,NYY,0,58,58,246,4,5,,0,12,,48,29,27,8,,6,69,23,10.69,3.61,4.19,1.24
155,Joely Rodríguez,,0,33,33,146,2,1,,0,0,,35,17,16,3,,1,29,12,7.99,3.38,4.3,1.43
156,Josh Staumont,,0,36,36,156,2,1,,0,0,,30,18,17,3,,1,36,20,8.93,4.96,4.21,1.38
157,Trevor Gott,,0,24,24,102,1,1,,0,0,,22,11,11,2,,1,22,8,8.39,3.17,4.08,1.28
158,Richard Fitts,BOS,3,47,60,259,3,3,,0,1,,64,33,30,8,,2,44,17,6.56,2.49,4.49,1.33
159,Will Warren,NYY,2,28,34,147,2,2,,0,1,,32,18,17,4,,2,32,12,8.54,3.09,4.42,1.28
160,Robert Stephenson,LAA,0,44,44,179,2,1,,4,1,,36,20,19,7,,1,58,13,11.93,2.7,3.83,1.13
161,Chad Patrick,MIL,3,27,41,174,2,2,,0,1,,40,22,20,6,,2,35,13,7.73,2.89,4.45,1.29
162,Chayce McDermott,BAL,3,33,46,201,2,2,,0,1,,41,24,22,6,,2,48,23,9.46,4.55,4.27,1.39
163,John Brebbia,,0,49,49,210,3,2,,0,0,,47,26,24,8,,2,55,16,10.07,3.02,4.43,1.3
164,Tim Hill,NYY,0,63,63,277,2,2,,0,11,,68,33,30,5,,5,34,18,4.85,2.6,4.33,1.37
165,Michel Otañez,ATH,0,61,61,270,4,4,,0,13,,49,29,27,6,,6,77,36,11.4,5.25,4.05,1.38
166,Erik Swanson,TOR,0,60,60,253,3,3,,0,13,,55,28,26,9,,1,60,21,8.95,3.09,3.91,1.27
167,Ryne Stanek,NYM,0,58,58,246,5,3,,0,12,,48,27,25,7,,2,65,29,10.12,4.44,3.91,1.32
168,Brennan Bernardino,BOS,0,58,58,253,4,2,,0,10,,54,29,26,6,,7,58,23,8.94,3.54,4.1,1.33
169,Matt Manning,DET,3,35,48,205,2,2,,0,1,,47,25,23,6,,1,38,16,7.1,3.06,4.34,1.3
170,Jalen Beeks,,0,52,52,230,3,4,,0,0,,53,26,24,5,,3,44,21,7.53,3.64,4.14,1.42
171,Abner Uribe,MIL,0,50,50,212,2,2,,0,4,,36,23,21,4,,3,59,30,10.69,5.44,3.69,1.32
172,Tommy Kahnle,DET,0,58,58,241,1,1,,2,10,,47,27,25,7,,3,60,26,9.35,4.06,3.86,1.26
173,Bryan Hoeing,SDP,2,68,76,323,4,4,,0,12,,75,39,37,10,,3,58,21,6.88,2.54,4.34,1.27
174,Keider Montero,DET,5,31,50,215,3,3,,0,1,,49,27,25,7,,3,41,18,7.34,3.22,4.55,1.34
175,Sean Guenther,DET,0,60,60,255,4,4,,0,10,,60,29,27,7,,3,48,15,7.17,2.29,4.12,1.25
176,Daysbel Hernández,ATL,0,58,58,252,6,3,,0,11,,49,27,25,7,,4,69,29,10.73,4.5,3.81,1.35
177,Josh Sborz,TEX,0,33,33,139,2,2,,2,1,,29,14,14,3,,0,36,13,9.89,3.5,3.71,1.26
178,Angel Perdomo,ATL,0,55,55,233,3,5,,0,9,,42,26,24,7,,7,72,28,11.75,4.54,4.01,1.28
179,Brent Suter,CIN,0,58,58,247,2,2,,0,10,,61,30,28,8,,2,44,17,6.87,2.69,4.33,1.34
180,Tristan Beck,SFG,2,55,62,267,3,3,,0,7,,62,30,28,7,,2,52,19,7.58,2.72,4.03,1.3
181,Michael McGreevy,STL,2,34,41,174,2,2,,0,1,,42,20,18,5,,1,29,11,6.34,2.41,3.99,1.28
182,Justin Topa,MIN,0,50,50,214,4,2,,0,1,,48,22,21,4,,5,42,16,7.59,2.95,3.79,1.29
183,Jorge López,WSN,0,60,60,263,3,4,,14,8,,59,31,29,7,,6,53,22,7.89,3.3,4.31,1.36
184,Michael Tonkin,MIN,0,63,63,268,4,3,,0,12,,58,33,30,8,,6,62,23,8.9,3.29,4.25,1.28
185,Eduard Bazardo,SEA,0,50,50,209,3,2,,0,1,,44,22,20,5,,2,51,16,9.13,2.92,3.65,1.2
186,Scott Effross,NYY,0,40,40,165,4,3,,0,1,,36,18,17,4,,1,33,11,7.52,2.43,3.76,1.18
187,Angel Zerpa,KCR,0,59,59,255,3,2,,0,12,,58,29,27,7,,3,48,20,7.38,3.06,4.07,1.33
188,Cionel Pérez,BAL,0,56,56,244,2,2,,0,7,,51,25,23,3,,3,49,26,7.83,4.17,3.67,1.37
189,Landon Knack,LAD,2,38,44,186,2,2,,0,1,,41,23,21,6,,1,41,15,8.45,2.98,4.31,1.27
190,Sawyer Gipson-Long,DET,2,41,38,162,3,3,,0,0,,37,20,18,5,,2,34,11,8.01,2.63,4.28,1.26
191,Michael Grove,LAD,0,44,44,189,3,2,,0,4,,41,23,21,6,,2,46,15,9.36,3.08,4.28,1.28
192,Forrest Whitley,HOU,0,59,59,259,3,3,,0,10,,52,28,27,6,,5,62,27,9.41,4.1,4.1,1.34
193,Patrick Monteverde,MIA,5,38,57,251,3,5,,0,1,,62,31,29,8,,2,42,20,6.59,3.16,4.6,1.43
194,Brusdar Graterol,LAD,0,24,24,97,2,0,,0,1,,21,9,8,1,,1,19,5,7.17,2.05,3.07,1.1
195,Noah Cameron,KCR,2,28,34,145,2,2,,0,1,,34,18,16,5,,1,29,10,7.79,2.71,4.35,1.3
196,Brooks Raley,,0,29,29,124,1,2,,0,0,,25,13,13,3,,2,30,13,9.32,3.92,3.92,1.31
197,Alex Lange,DET,0,46,46,202,4,4,,1,1,,36,21,19,3,,4,54,27,10.57,5.28,3.77,1.36
198,Cooper Criswell,BOS,2,26,32,141,2,2,,0,1,,34,18,16,4,,3,24,9,6.63,2.43,4.53,1.32
199,Graham Ashcraft,CIN,0,50,50,218,2,4,,0,4,,51,28,26,6,,3,40,17,7.13,3.01,4.73,1.36
200,Kendall Graveman,,0,55,55,238,5,3,,0,0,,48,24,22,6,,5,55,26,8.94,4.19,3.62,1.33
201,Brandon Young,BAL,2,30,35,150,2,2,,0,1,,35,17,16,5,,2,31,11,8.03,2.81,4.16,1.3
202,Fraser Ellard,CHW,0,62,62,275,3,6,,5,13,,57,33,31,7,,6,62,32,9.05,4.61,4.44,1.43
203,Austin Voth,,0,53,53,227,3,3,,0,0,,50,26,25,8,,2,53,19,9,3.21,4.18,1.3
204,Max Lazar,PHI,0,50,50,212,3,3,,0,4,,49,26,24,7,,1,41,14,7.37,2.51,4.36,1.27
205,Dillon Tate,,0,40,40,169,1,1,,0,0,,38,20,18,4,,4,29,13,6.63,2.82,4.14,1.25
206,José Ruiz,PHI,0,62,62,267,2,3,,0,10,,58,33,31,8,,2,62,25,9.05,3.68,4.45,1.35
207,Yuki Matsui,SDP,0,54,54,228,3,2,,0,6,,43,24,22,6,,2,62,25,10.39,4.19,3.69,1.27
208,Joe Jiménez,ATL,0,22,22,90,1,1,,0,1,,18,9,8,2,,1,27,7,10.97,2.82,3.26,1.12
209,Joe Rock,TBR,2,24,31,136,2,2,,0,1,,32,16,15,4,,2,26,10,7.47,2.73,4.24,1.32
210,Ryan Gusto,HOU,3,27,42,182,2,2,,0,1,,42,23,21,6,,2,33,15,7.16,3.28,4.47,1.37
211,Justin Lawrence,COL,0,61,61,274,4,5,,1,10,,59,35,32,6,,6,54,30,8.02,4.38,4.67,1.46
212,Kyle Finnegan,,0,65,65,277,6,6,,0,0,,62,32,30,9,,1,61,24,8.39,3.36,4.12,1.32
213,Gus Varland,CHW,0,60,60,269,2,3,,4,11,,60,32,30,7,,5,56,25,8.42,3.74,4.52,1.42
214,Danny Young,NYM,0,56,56,249,4,3,,0,10,,46,29,27,5,,10,64,28,10.3,4.53,4.32,1.33
215,Luke Jackson,,0,40,40,173,3,2,,0,0,,36,19,18,5,,2,43,19,9.7,4.19,4,1.37
216,Richard Lovelady,TOR,0,32,32,134,4,3,,0,1,,30,14,13,3,,2,28,8,7.83,2.26,3.66,1.18
217,Xzavion Curry,MIA,6,50,78,334,4,6,,0,1,,82,44,41,13,,2,57,23,6.59,2.69,4.73,1.35
218,Chase Silseth,LAA,2,59,64,274,3,3,,0,10,,60,33,31,9,,3,61,26,8.54,3.65,4.33,1.34
219,Michael Fulmer,BOS,0,52,52,229,3,3,,0,4,,49,29,26,5,,3,52,24,8.93,4.23,4.46,1.41
220,Phil Maton,,0,65,65,278,3,2,,0,0,,57,33,31,8,,8,66,25,9.11,3.46,4.24,1.26
221,Bryan Baker,BAL,0,46,46,194,3,3,,0,1,,40,22,20,4,,2,45,19,8.88,3.76,3.93,1.29
222,Brady Basso,ATH,2,46,52,219,3,3,,0,1,,51,26,24,8,,2,46,14,7.95,2.45,4.19,1.25
223,Daniel Lynch IV,KCR,2,52,59,256,2,3,,0,4,,61,32,29,8,,2,47,19,7.24,2.95,4.5,1.36
224,Hans Crouse,LAA,0,56,56,240,4,5,,0,7,,46,28,26,7,,2,68,29,10.9,4.72,4.23,1.34
225,Mike Burrows,PIT,3,36,46,197,2,3,,0,1,,45,25,23,6,,2,38,18,7.37,3.44,4.54,1.35
226,JT Brubaker,NYY,3,47,59,257,3,3,,0,1,,59,34,32,10,,4,55,20,8.33,3.05,4.81,1.33
227,Josh Winckowski,BOS,0,50,50,216,3,2,,0,1,,51,24,22,5,,2,41,16,7.39,2.84,4.04,1.34
228,Carson Whisenhunt,SFG,2,23,28,122,1,1,,0,1,,27,14,13,3,,1,26,11,8.41,3.54,4.25,1.37
229,Caleb Kilian,CHC,2,24,30,131,1,1,,0,1,,30,16,15,3,,1,23,11,6.89,3.28,4.48,1.37
230,Travis Adams,MIN,2,19,25,109,1,2,,0,1,,26,14,13,3,,1,19,8,6.81,2.94,4.54,1.37
231,Mason Black,SFG,3,41,52,227,3,3,,0,1,,52,27,25,7,,4,45,19,7.75,3.26,4.41,1.36
232,Brant Hurter,DET,0,50,50,210,3,3,,0,4,,48,25,23,6,,4,40,12,7.22,2.13,4.1,1.19
233,J.P. France,HOU,2,24,31,137,2,2,,0,1,,31,16,15,4,,1,29,13,8.31,3.87,4.25,1.42
234,Kody Funderburk,MIN,0,48,48,210,2,2,,0,1,,44,24,22,5,,4,49,20,9.15,3.84,4.13,1.34
235,Joe Ross,PHI,2,56,63,276,3,3,,0,6,,63,35,33,8,,3,53,25,7.58,3.55,4.74,1.41
236,Hurston Waldrep,ATL,3,20,32,144,2,2,,0,1,,32,18,16,4,,1,29,15,8.14,4.21,4.6,1.47
237,Shawn Dubin,HOU,0,56,56,248,2,3,,0,7,,50,27,25,5,,3,59,28,9.46,4.56,4.05,1.41
238,Penn Murfee,CHW,0,40,40,172,2,3,,0,1,,37,21,19,5,,3,39,15,8.74,3.45,4.27,1.31
239,Bradley Blalock,COL,3,25,37,164,1,3,,0,1,,40,23,21,6,,1,27,14,6.64,3.5,5.07,1.47
240,Carlos Rodriguez,MIL,2,14,21,90,1,2,,0,1,,19,11,11,3,,1,19,8,8.1,3.59,4.58,1.33
241,Brenan Hanifee,DET,0,44,44,187,2,2,,0,1,,44,21,19,5,,2,33,11,6.78,2.34,3.97,1.26
242,Mason Thompson,WSN,0,52,52,227,4,4,,2,6,,52,27,25,5,,3,44,19,7.59,3.35,4.24,1.36
