#,Name,Team,G,AB,PA,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,SB,CS,NSB,AVG,OBP,SLG,OPS,BABIP,K%,BB%,real_AB,real_PA,real_H,real_1B,real_2B,real_3B,real_HR,real_R,real_RBI,real_BB,real_IBB,real_SO,real_HBP,real_SF,real_SH,real_SB,real_CS,real_NSB,real_AVG,real_OBP,real_SLG,real_OPS,real_BABIP,real_K%,real_BB%,1B%,2B%,3B%,HR%,real_1B%,real_2B%,real_3B%,real_HR%,HIP,real_HIP
1,Marcus Semien,TEX,154,679.264095,753,167.5816024,101.6661721,35.75074184,3.351632047,25.6958457,93.84569733,86.02522255,61.44658754,0.0,146.3545994,3.351632047,5.586053412,1.117210682,24.57863501,5.586053412,18.9925816,0.247,0.309985097,0.421052632,0.731037728,0.276688453,19.43620178,8.160237389,670,753,185,112,40,4,29,122,100,72,1,110,5,5,0,14,3,11,0.276,0.348,0.478,0.826,0.291,14.6,9.6,0.7165354329043797,0.25196850389705117,0.02362204723682458,0.0341246290836653,0.717948717948718,0.2564102564102564,0.02564102564102564,0.0385126162018592,141.8857567,156
2,Freddie Freeman,LAD,153,635.8770615,730,192.6236882,125.862069,39.40029985,3.283358321,22.98350825,103.9730135,97.40629685,80.98950525,10.94452774,107.2563718,7.661169415,5.472263868,0.0,12.03898051,4.377811094,7.661169415,0.303,0.385307346,0.481927711,0.867235057,0.331905782,14.69265367,11.09445277,637,730,211,121,59,2,29,131,102,72,12,121,16,5,0,23,1,22,0.331,0.41,0.567,0.976,0.37,16.6,9.9,0.7419354838994912,0.23225806446098388,0.01935483870606446,0.0314842578767123,0.6648351648351648,0.3241758241758242,0.01098901098901099,0.0397260273972602,169.64017995,182
3,Trea Turner,PHI,152,633.7635542,691,183.1566265,122.7981928,33.30120482,5.203313253,21.85391566,99.90361446,82.2123494,46.82981928,1.040662651,122.7981928,5.203313253,4.162650602,1.040662651,37.46385542,7.284638554,30.17921687,0.289,0.340874811,0.461412151,0.802286963,0.327004219,17.77108434,6.777108434,639,691,170,104,35,5,26,102,76,45,2,150,6,1,0,30,0,30,0.266,0.32,0.459,0.778,0.31,21.7,6.5,0.7612903227758303,0.20645161291202518,0.03225806451672899,0.0316265060202604,0.7222222222222222,0.24305555555555555,0.034722222222222224,0.0376266280752532,161.30271083999997,144
4,Matt Olson,ATL,153,629.4545455,720,162.5454545,92.72727273,33.81818182,1.090909091,34.90909091,96.0,103.6363636,76.36363636,6.545454545,154.9090909,9.818181818,5.454545455,0.0,3.272727273,1.090909091,2.181818182,0.258,0.344931921,0.481802426,0.826734348,0.286764706,21.51515152,10.60606061,608,720,172,88,27,3,54,127,139,104,8,167,4,4,0,1,0,1,0.283,0.389,0.604,0.993,0.302,23.2,14.4,0.726495726780992,0.26495726506775513,0.00854700855082548,0.0484848484861111,0.7457627118644068,0.2288135593220339,0.025423728813559324,0.075,127.63636359,118
5,Vladimir Guerrero Jr.,TOR,152,601.2776935,682,176.9681335,107.629742,34.15174507,1.034901366,34.15174507,99.35053111,104.5250379,68.30349014,7.24430956,106.5948407,7.24430956,4.139605463,1.034901366,8.279210926,2.069802731,6.209408194,0.294,0.370820669,0.524956971,0.895777639,0.307349666,15.62974203,10.01517451,602,682,159,103,30,0,26,78,94,67,5,100,9,4,0,5,3,2,0.264,0.345,0.444,0.788,0.277,14.7,9.8,0.7536231883692649,0.23913043485719518,0.007246376815551854,0.0500758725366568,0.7744360902255639,0.22556390977443608,0.0,0.0381231671554252,142.81638843,133
6,Bo Bichette,TOR,151,556.1765601,601,158.2541857,101.5388128,33.84627093,1.829528158,21.03957382,83.2435312,77.75494673,36.59056317,0.914764079,124.4079148,3.659056317,3.659056317,0.914764079,20.12480974,4.573820396,15.55098935,0.284,0.330792683,0.465460526,0.796253209,0.331125828,20.70015221,6.088280061,571,601,175,122,30,3,20,69,73,27,0,115,2,1,0,5,3,2,0.306,0.339,0.475,0.814,0.355,19.1,4.5,0.7400000000641331,0.24666666666375153,0.013333333330418192,0.0350076103494176,0.7870967741935484,0.1935483870967742,0.01935483870967742,0.0332778702163061,137.21461188,155
7,Pete Alonso,NYM,153,574.8736682,658,151.2298326,86.13089802,27.04109589,1.00152207,36.05479452,88.13394216,107.1628615,63.09589041,10.0152207,133.2024353,13.01978691,5.00761035,1.00152207,4.00608828,1.00152207,3.00456621,0.262,0.346564885,0.5,0.846564885,0.280487805,20.2435312,9.589041096,568,658,123,54,21,2,46,92,118,65,6,151,21,4,0,4,1,3,0.217,0.318,0.504,0.821,0.205,22.9,9.9,0.7478260867617331,0.23478260863449762,0.00869565217164806,0.0547945205471124,0.7012987012987013,0.2727272727272727,0.025974025974025976,0.0699088145896656,115.17503808000001,77
8,Austin Riley,ATL,153,639.6793893,715,174.6564885,101.519084,34.93129771,2.183206107,37.11450382,99.33587786,108.0687023,56.76335878,2.183206107,176.8396947,12.00763359,5.458015267,0.0,1.091603053,0.0,1.091603053,0.273,0.340978593,0.510238908,0.851217501,0.318987342,24.73282443,7.938931298,636,715,179,107,32,3,37,117,97,59,4,172,9,11,0,3,1,2,0.281,0.345,0.516,0.861,0.324,24.1,8.3,0.7380952386007116,0.25396825406634815,0.015873015880055574,0.0519083969510489,0.7535211267605634,0.22535211267605634,0.02112676056338028,0.0517482517482517,137.54198467999998,142
9,Francisco Lindor,NYM,151,613.4678899,687,155.4678899,98.74311927,29.41284404,2.100917431,25.21100917,88.23853211,88.23853211,57.77522936,3.151376147,126.0550459,7.353211009,5.252293578,1.050458716,17.85779817,5.252293578,12.60550459,0.253,0.322580645,0.431506849,0.754087494,0.278651685,18.34862385,8.409785933,602,687,153,87,33,2,31,108,98,66,1,137,12,7,0,31,4,27,0.254,0.336,0.47,0.806,0.277,19.9,9.6,0.758064516182277,0.22580645164509772,0.016129032257073923,0.0366972477001455,0.7131147540983607,0.27049180327868855,0.01639344262295082,0.0451237263464337,130.25688072999998,122
10,Manny Machado,SDP,152,535.6539051,601,144.4977029,88.35528331,26.6906585,0.920367534,27.61102603,80.99234303,88.35528331,57.06278714,7.362940276,114.1255743,2.761102603,4.601837672,0.920367534,11.04441041,2.761102603,8.28330781,0.269,0.340490798,0.475945017,0.816435815,0.29330254,18.98928025,9.494640123,543,601,140,89,21,0,30,75,91,50,1,109,2,6,0,3,2,1,0.258,0.319,0.462,0.782,0.268,18.1,8.3,0.7559055118682835,0.22834645671110182,0.007874015744528541,0.0459418070382695,0.8090909090909091,0.19090909090909092,0.0,0.0499168053244592,116.88667687,110
11,Paul Goldschmidt,STL,152,601.5207373,687,164.6267281,102.3640553,30.60368664,2.110599078,30.60368664,97.0875576,96.03225806,75.98156682,1.055299539,146.6866359,4.221198157,4.221198157,1.055299539,8.442396313,2.110599078,6.331797235,0.274,0.356923077,0.485964912,0.842887989,0.312807882,21.35176651,11.05990783,593,687,159,103,31,0,25,89,80,87,6,161,3,3,0,11,2,9,0.268,0.363,0.447,0.81,0.327,23.4,12.7,0.7637795276460069,0.22834645674813953,0.015748031495240473,0.0445468510043668,0.7686567164179104,0.23134328358208955,0.0,0.0363901018922852,134.02304146,134
12,Jose Ramirez,CLE,151,608.08,691,165.84,95.67692308,38.27076923,3.189230769,28.70307692,99.92923077,98.86615385,69.1,12.75692308,88.23538462,6.378461538,6.378461538,0.0,30.82923077,7.441538462,23.38769231,0.273,0.349768875,0.487762238,0.837531113,0.275641026,12.76923077,10.0,611,691,172,107,36,5,24,87,80,73,22,73,1,6,0,28,6,22,0.282,0.356,0.475,0.831,0.285,10.6,10.6,0.6976744186114343,0.2790697674299898,0.02325581395128382,0.0415384615340086,0.722972972972973,0.24324324324324326,0.033783783783783786,0.0347322720694645,137.13692308,148
13,Juan Soto,SDP,148,564.6491499,708,158.6707883,96.29675425,29.54559505,3.282843895,28.45131376,108.3338485,94.10819165,133.5023184,10.94281298,101.7681607,4.377125193,4.377125193,0.0,12.03709428,4.377125193,7.659969088,0.281,0.419504644,0.494186047,0.91369069,0.296758105,14.374034,18.85625966,568,708,156,88,32,1,35,97,109,132,11,129,2,5,1,12,5,7,0.275,0.41,0.519,0.93,0.296,18.2,18.6,0.739495798076041,0.22689075619733337,0.025210084026192233,0.0401854714124293,0.7272727272727273,0.2644628099173554,0.008264462809917356,0.0494350282485875,130.21947454,121
14,Alex Bregman,HOU,151,617.5294118,724,160.2662539,98.625387,35.86377709,1.120743034,23.53560372,91.90092879,87.41795666,88.53869969,2.241486068,98.625387,8.965944272,6.724458204,1.120743034,2.241486068,0.0,2.241486068,0.259,0.357142857,0.433756806,0.790899663,0.272321429,13.62229102,12.22910217,622,724,163,106,28,4,25,103,98,92,1,87,8,2,0,3,1,2,0.262,0.363,0.441,0.804,0.27,12.0,12.7,0.7213114752995319,0.2622950819204537,0.008196721309557075,0.0325077399447513,0.7681159420289855,0.2028985507246377,0.028985507246376812,0.0345303867403314,136.73065018,138
15,Dansby Swanson,CHC,151,576.7678019,638,145.1795666,93.82352941,28.64086687,1.975232198,20.73993808,78.02167183,74.07120743,48.39318885,0.987616099,161.9690402,4.938080495,3.950464396,2.962848297,16.78947368,4.938080495,11.85139319,0.251,0.313084112,0.41609589,0.729180003,0.312655087,25.3869969,7.585139319,565,638,138,88,25,3,22,81,80,66,0,154,5,2,0,9,1,8,0.244,0.328,0.416,0.744,0.297,24.1,10.3,0.7539682537297244,0.23015873006561433,0.015873015867148302,0.032507739937304,0.7586206896551724,0.21551724137931033,0.02586206896551724,0.0344827586206896,124.43962851999999,116
16,Aaron Judge,NYY,148,386.7713841,458,108.2674961,57.69517885,17.80715397,0.712286159,31.34059098,73.36547434,79.06376361,63.39346812,7.122861586,123.2255054,4.273716952,2.849144635,0.0,7.835147745,2.849144635,4.98600311,0.28,0.384735202,0.570902394,0.955637597,0.327272727,26.90513219,13.84136858,367,458,98,45,16,0,37,79,75,88,9,130,0,3,0,3,1,2,0.267,0.406,0.613,1.019,0.3,28.4,19.2,0.7500000001299935,0.23148148157295842,0.009259259265518207,0.0684292379475982,0.7377049180327869,0.26229508196721313,0.0,0.0807860262008733,76.92690512,61
17,Rafael Devers,BOS,148,590.6043614,656,165.5327103,97.07165109,34.74143302,2.043613707,31.67601246,88.89719626,98.09345794,55.17757009,7.152647975,123.6386293,6.130841121,4.087227414,0.0,5.109034268,2.043613707,3.065420561,0.279,0.345794393,0.506920415,0.852714808,0.304651163,18.84735202,8.411214953,580,656,157,90,34,0,33,90,100,62,10,126,11,3,0,5,1,4,0.271,0.351,0.5,0.851,0.292,19.2,9.5,0.7251908395800302,0.25954198467921813,0.015267175568926318,0.0482866043597561,0.7258064516129032,0.27419354838709675,0.0,0.0503048780487804,133.85669783999998,124
18,Mookie Betts,LAD,145,609.7535101,693,165.4118565,94.05772231,36.75819033,3.243369735,31.3525741,103.7878315,97.30109204,70.27301092,1.081123245,118.9235569,8.648985959,5.405616225,1.081123245,17.29797192,4.32449298,12.97347894,0.272,0.352024922,0.496453901,0.848478823,0.288372093,17.16068643,10.14040562,584,693,179,99,40,1,39,126,107,96,3,107,8,5,0,14,3,11,0.307,0.408,0.579,0.987,0.316,15.4,13.9,0.7016129030838375,0.2741935483461904,0.024193548383487393,0.0452418096681096,0.7071428571428572,0.2857142857142857,0.007142857142857143,0.0562770562770562,134.0592824,140
19,Bryan Reynolds,PIT,150,565.7680251,640,158.4952978,101.3166144,29.09090909,4.012539185,23.07210031,84.26332288,87.27272727,61.19122257,5.015673981,134.4200627,9.028213166,4.012539185,0.0,8.02507837,3.009404389,5.015673981,0.28,0.357366771,0.466312057,0.823678828,0.328467153,21.0031348,9.561128527,574,640,151,91,31,5,24,85,84,53,2,138,7,6,0,12,1,11,0.263,0.33,0.46,0.79,0.304,21.6,8.3,0.7481481480119496,0.21481481481153292,0.0296296296304501,0.036050156734375,0.7165354330708661,0.2440944881889764,0.03937007874015748,0.0375,135.42319749,127
20,Bobby Witt Jr.,KCR,148,640.6990596,694,168.6050157,103.338558,35.89655172,6.526645768,22.84326019,92.46081505,81.5830721,39.15987461,2.175548589,149.0250784,6.526645768,5.438871473,1.087774295,35.89655172,6.526645768,29.36990596,0.263,0.309748428,0.446519525,0.756267952,0.30733945,21.47335423,5.642633229,641,694,177,108,28,11,30,97,96,40,1,121,4,8,1,49,15,34,0.276,0.319,0.495,0.813,0.295,17.4,5.8,0.7089552238063602,0.24626865664730083,0.04477611939540779,0.0329153605043227,0.7346938775510204,0.19047619047619047,0.07482993197278912,0.0432276657060518,145.76175551,147
21,Nolan Arenado,STL,150,550.5117739,612,147.956044,87.42857143,29.7833595,1.921507064,28.82260597,78.78178964,89.35007849,50.91993721,4.803767661,80.7032967,3.843014129,5.764521193,0.960753532,4.803767661,0.960753532,3.843014129,0.269,0.331761006,0.486910995,0.818672001,0.266666667,13.18681319,8.320251177,560,612,149,95,26,2,26,71,93,41,5,101,3,8,0,3,3,0,0.266,0.315,0.459,0.774,0.279,16.5,6.7,0.7338709675111019,0.2499999999370454,0.016129032249670567,0.0470957613888888,0.7723577235772358,0.21138211382113822,0.016260162601626018,0.0424836601307189,119.13343803,123
22,Julio Rodriguez,SEA,146,643.0504732,714,180.1892744,111.4921136,33.78548896,4.504731861,31.53312303,103.6088328,93.47318612,56.30914826,5.630914826,172.3059937,10.13564669,3.378548896,1.126182965,29.2807571,6.757097792,22.52365931,0.281,0.345971564,0.495621716,0.84159328,0.335877863,24.13249211,7.886435331,654,714,180,109,37,2,32,102,103,47,6,175,11,2,0,37,10,27,0.275,0.333,0.485,0.818,0.33,24.5,6.6,0.7500000004877028,0.22727272735528514,0.030303030311795705,0.0441640378571428,0.7364864864864865,0.25,0.013513513513513514,0.0448179271708683,148.65615136999998,148
