#,Name,Team,GS,G,IP,TBF,W,L,QS,SV,HLD,BS,H,R,ER,HR,IBB,HBP,SO,BB,K/9,BB/9,ERA,WHIP
95,Grant Holmes,ATL,15,45,117,502,5,4,,0,1,,109,52,48,12,,5,120,39,9.18,2.99,3.71,1.26
96,Bowden Francis,TOR,26,36,155,633,12,9,,0,1,,135,73,67,22,,12,142,42,8.28,2.44,3.92,1.14
97,Jameson Taillon,CHC,29,29,163,679,10,9,,0,0,,162,81,75,24,,4,129,39,7.12,2.17,4.15,1.23
98,Luis Garcia,HOU,19,33,118,491,10,7,,0,1,,107,53,50,16,,1,118,38,8.97,2.87,3.79,1.22
99,Tobias Myers,MIL,24,24,128,539,8,7,,0,0,,120,62,57,18,,5,117,40,8.24,2.81,4.02,1.25
100,Shohei Ohtani,LAD,21,21,124,507,9,5,,0,0,,94,56,52,17,,10,134,48,9.69,3.5,3.77,1.15
#,Name,Team,GS,G,IP,TBF,W,L,QS,SV,HLD,BS,H,R,ER,HR,IBB,HBP,SO,BB,K/9,BB/9,ERA,WHIP
101,Luis Severino,ATH,31,31,171,729,8,9,,0,0,,167,90,83,22,,9,144,54,7.61,2.87,4.37,1.3
102,Dean Kremer,BAL,24,24,126,531,8,7,,0,0,,119,60,55,16,,4,111,42,7.97,3.02,3.95,1.28
103,Shane Bieber,CLE,15,25,97,404,6,4,,0,1,,92,42,39,11,,2,89,26,8.32,2.42,3.63,1.22
104,Martín Pérez,CHW,24,24,132,583,5,7,,0,0,,143,70,65,15,,5,97,47,6.62,3.24,4.44,1.45
105,Zack Littell,TBR,23,38,137,573,8,7,,0,1,,137,66,61,20,,4,118,29,7.78,1.93,3.99,1.22
106,Clayton Kershaw,,16,16,81,334,7,4,,0,0,,75,36,33,10,,2,75,21,8.36,2.33,3.71,1.19
107,Kutter Crawford,BOS,23,49,152,632,10,10,,0,1,,143,80,74,24,,6,143,42,8.47,2.5,4.39,1.22
108,Robbie Ray,SFG,28,28,141,589,9,8,,0,0,,129,66,61,22,,5,149,45,9.56,2.91,3.91,1.24
109,Kris Bubic,KCR,18,42,107,460,6,5,,0,1,,101,51,47,12,,4,107,38,9.03,3.18,4,1.3
110,Merrill Kelly,ARI,26,26,145,606,8,7,,0,0,,140,67,62,20,,2,120,42,7.45,2.63,3.87,1.26
111,Kyle Gibson,,29,29,162,709,8,9,,0,0,,164,87,80,21,,6,135,64,7.51,3.56,4.47,1.41
