#,Name,Team,GS,G,IP,TBF,W,L,QS,SV,HLD,BS,H,R,ER,HR,IBB,HBP,SO,BB,K/9,BB/9,ERA,WHIP,K%,BB%
349,Josh Walker,TOR,0,39,39,167,2,2,0,0,1,0,33,18,17,5,0,2,40,18,9.25,4.12,3.86,1.3,23.95209581,10.77844311
350,Ronny Henriquez,MIN,0,22,22,94,1,1,0,0,1,0,21,10,10,2,0,1,19,8,7.96,3.27,3.91,1.3,20.21276596,8.510638298
351,Austin Adams,BOS,0,28,28,122,1,1,0,0,1,0,25,14,13,3,0,1,30,13,9.76,4.09,4.1,1.36,24.59016393,10.6557377
352,Kade Strowd,BAL,0,32,32,140,2,2,0,0,1,0,29,15,14,3,0,2,32,16,9.08,4.41,3.98,1.4,22.85714286,11.42857143
353,Austin Krob,SDP,2,17,25,109,1,1,1,0,1,0,26,15,14,3,0,1,17,10,6.25,3.79,4.92,1.48,15.59633028,9.174311927
354,Alex Young,CIN,0,22,22,96,1,1,0,0,1,0,22,12,11,3,0,1,19,8,7.9,3.37,4.39,1.37,19.79166667,8.333333333
355,Cody Bolton,SEA,0,41,41,176,2,2,0,0,1,0,34,18,16,5,0,2,41,17,9.06,3.76,3.55,1.25,23.29545455,9.659090909
356,Tommy Doyle,COL,0,19,19,82,1,1,0,0,1,0,18,10,9,2,0,1,17,8,8.25,3.75,4.28,1.37,20.73170732,9.756097561
357,Jack Dreyer,LAD,0,22,22,95,1,1,0,0,1,0,19,10,10,3,0,1,24,9,9.67,3.87,3.92,1.3,25.26315789,9.473684211
358,Enyel De Los Santos,ATL,0,33,33,141,2,2,0,0,1,0,30,16,15,4,0,2,35,13,9.49,3.55,4.09,1.3,24.82269504,9.219858156
359,Josiah Gray,WSN,2,10,15,66,0,0,1,0,1,0,15,9,8,2,0,1,13,6,7.49,3.62,4.98,1.4,19.6969697,9.090909091
360,Connor Thomas,MIL,0,54,54,230,3,3,0,0,6,0,56,28,26,6,0,2,36,14,5.92,2.34,4.33,1.3,15.65217391,6.086956522
361,Adam Macko,TOR,2,23,28,123,1,1,1,0,1,0,26,16,14,4,0,1,24,13,7.76,4.22,4.52,1.4,19.51219512,10.56910569
362,Francis Pena,SDP,0,35,35,151,2,2,0,0,1,0,34,17,16,4,0,2,30,13,7.61,3.38,4.07,1.33,19.86754967,8.609271523
363,Wandy Peralta,SDP,0,50,50,214,3,2,0,0,4,0,46,24,22,5,0,2,42,21,7.52,3.77,4.01,1.34,19.62616822,9.813084112
364,Cody Poteet,CHC,0,35,35,147,2,2,0,0,1,0,34,18,16,4,0,2,30,12,7.8,3.09,4.16,1.3,20.40816327,8.163265306
365,Tom Cosgrove,SDP,0,48,48,208,3,2,0,0,1,0,42,23,21,6,0,2,47,20,8.75,3.7,3.9,1.3,22.59615385,9.615384615
366,Gordon Graceffo,STL,2,40,45,194,2,2,2,0,1,0,48,26,24,6,0,2,30,15,5.89,2.92,4.77,1.39,15.46391753,7.731958763
367,Steven Cruz,KCR,0,36,36,158,2,2,0,0,1,0,33,18,16,4,0,2,35,18,8.71,4.5,4.03,1.4,22.15189873,11.39240506
368,Keaton Winn,SFG,0,15,15,65,0,0,0,0,1,0,15,7,7,2,0,1,13,5,8.02,3.04,3.94,1.33,20,7.692307692
369,J.P. France,HOU,2,24,29,126,1,1,1,0,1,0,28,16,15,4,0,1,24,11,7.45,3.45,4.59,1.34,19.04761905,8.73015873
