#,Name,Team,GS,G,IP,TBF,W,L,QS,SV,HLD,BS,H,R,ER,HR,IBB,HBP,SO,BB,K/9,BB/9,ERA,WHIP,K%,BB%
216,Hagen Smith,CHW,6,6,28,125,2,2,3,0,0,,28,15,13,4,,1,24,11,7.84,3.6,4.26,1.39,19.2,8.8
217,Chris Flexen,,16,16,87,385,5,7,7,0,0,,90,53,48,14,,4,67,33,6.89,3.4,4.99,1.42,17.4025974,8.571428571
218,Trevor Rogers,BAL,6,30,62,263,1,1,4,0,1,,62,35,32,8,,3,49,22,7.17,3.24,4.63,1.36,18.63117871,8.365019011
219,Jordan Wicks,CHC,5,26,46,197,1,1,3,0,1,,45,24,22,6,,2,39,16,7.67,3.13,4.24,1.32,19.79695431,8.121827411
220,Tink Hence,STL,3,3,19,85,1,1,2,0,0,,19,9,9,2,,1,19,8,8.91,3.48,4,1.35,22.35294118,9.411764706
221,Keider Montero,DET,5,31,54,232,1,1,3,0,1,,51,28,26,7,,2,45,21,7.53,3.42,4.27,1.32,19.39655172,9.051724138
222,Valente Bellozo,MIA,15,41,106,460,2,3,7,0,1,,114,67,61,17,,5,71,37,6.08,3.12,5.23,1.43,15.43478261,8.043478261
223,Brandon Sproat,NYM,3,3,19,85,1,1,2,0,0,,18,9,9,2,,1,19,9,8.62,3.99,3.99,1.36,22.35294118,10.58823529
224,Mason Adams,CHW,3,3,19,86,1,1,1,0,0,,21,11,10,3,,1,14,7,6.4,3.09,4.7,1.42,16.27906977,8.139534884
225,Ian Seymour,TBR,5,24,46,197,1,1,3,0,1,,43,25,23,7,,2,40,17,7.82,3.36,4.41,1.3,20.30456853,8.629441624
226,Emerson Hancock,SEA,6,20,53,229,1,1,3,0,1,,52,29,26,8,,2,38,18,6.38,3.11,4.47,1.32,16.59388646,7.860262009
227,Sam Aldegheri,LAA,3,3,19,86,1,1,1,0,0,,18,11,10,3,,1,18,10,8.44,4.4,4.63,1.43,20.93023256,11.62790698
228,Carson Palmquist,COL,3,3,19,89,1,1,1,0,0,,20,12,11,3,,1,19,10,8.57,4.61,5.09,1.53,21.34831461,11.23595506
229,Hunter Barco,PIT,2,2,7,32,1,1,1,0,0,,7,4,4,1,,0,7,3,8.1,3.88,4.4,1.43,21.875,9.375
230,Jake Bloss,TOR,5,22,43,189,1,1,3,0,1,,42,25,23,7,,2,35,18,7.24,3.83,4.81,1.4,18.51851852,9.523809524
231,Hurston Waldrep,ATL,3,20,36,159,1,1,2,0,1,,35,21,19,4,,2,31,18,7.55,4.53,4.75,1.48,19.49685535,11.32075472
232,Thomas Harrington,PIT,2,2,7,32,1,1,1,0,0,,8,4,4,1,,0,6,2,7.28,2.79,4.47,1.36,18.75,6.25
233,Emiliano Teodo,TEX,2,2,7,33,1,1,1,0,0,,6,4,3,1,,0,8,4,9.53,5.48,4.26,1.5,24.24242424,12.12121212
234,Ky Bush,CHW,3,15,31,139,1,1,2,0,1,,32,20,18,4,,2,22,15,6.33,4.28,5.11,1.51,15.82733813,10.79136691
235,Ryan Bergert,SDP,5,5,27,119,1,2,2,0,0,,28,17,15,4,,1,19,12,6.3,3.81,5.06,1.43,15.96638655,10.08403361
236,Mason Barnett,ATH,2,2,7,32,1,1,1,0,0,,7,4,4,1,,0,7,3,8.1,3.99,4.4,1.41,21.875,9.375
237,Chase Hampton,NYY,2,2,6,27,0,0,1,0,0,,6,4,3,1,,0,6,3,7.93,3.7,4.48,1.28,22.22222222,11.11111111
238,Jonathan Pintaro,NYM,2,2,7,32,1,1,1,0,0,,7,4,4,1,,0,6,3,7,4.19,4.56,1.45,18.75,9.375
239,Drue Hackenberg,ATL,2,2,7,33,1,1,1,0,0,,7,4,4,1,,0,6,4,7.93,4.82,4.65,1.55,18.18181818,12.12121212
240,Casey Lawrence,SEA,2,10,18,75,1,1,1,0,1,,18,10,9,3,,1,10,4,5.05,2.16,4.66,1.27,13.33333333,5.333333333
241,Gunnar Hoglund,ATH,6,39,73,314,2,2,4,0,1,,74,43,39,11,,3,50,24,6.13,2.93,4.83,1.34,15.92356688,7.643312102
