#,Name,Team,G,AB,PA,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,SB,CS,NSB,AVG,OBP,SLG,OPS,BABIP,K%,BB%,real_AB,real_PA,real_H,real_1B,real_2B,real_3B,real_HR,real_R,real_RBI,real_BB,real_IBB,real_SO,real_HBP,real_SF,real_SH,real_SB,real_CS,real_NSB,real_AVG,real_OBP,real_SLG,real_OPS,real_BABIP,real_K%,real_BB%,1B%,2B%,3B%,HR%,real_1B%,real_2B%,real_3B%,real_HR%,HIP,real_HIP
1,Freddie Freeman,LAD,155,629.5710059,730,190.0591716,120.9467456,38.87573964,2.159763314,26.99704142,114.4674556,100.4289941,87.4704142,8.639053254,109.0680473,6.479289941,4.319526627,1.079881657,10.79881657,3.23964497,7.559171598,0.301,0.390207715,0.497427101,0.887634816,0.327548807,14.9408284,11.98224852,637,730,211,121,59,2,29,131,102,72,12,121,16,5,0,23,1,22,0.331,0.41,0.567,0.976,0.37,16.6,9.9,0.7417218545255728,0.2384105959923747,0.013245033114775907,0.0369822485205479,0.6648351648351648,0.3241758241758242,0.01098901098901099,0.0397260273972602,163.06213018000003,182
2,Marcus Semien,TEX,154,678.2577778,753,169.5644444,101.5155556,34.58222222,3.346666667,30.12,104.8622222,87.01333333,64.70222222,0.0,139.4444444,3.346666667,5.577777778,2.231111111,21.19555556,6.693333333,14.50222222,0.25,0.316023739,0.444078947,0.760102686,0.271149675,18.51851852,8.592592593,670,753,185,112,40,4,29,122,100,72,1,110,5,5,0,14,3,11,0.276,0.348,0.478,0.826,0.291,14.6,9.6,0.7280000005507569,0.24800000006310755,0.02400000001003984,0.04,0.717948717948718,0.2564102564102564,0.02564102564102564,0.0385126162018592,139.4444444,156
3,Juan Soto,SDP,152,554.9189189,708,155.2072072,92.48648649,28.7027027,2.126126126,31.89189189,111.6216216,94.61261261,143.5135135,8.504504505,103.1171171,4.252252252,3.189189189,1.063063063,9.567567568,4.252252252,5.315315315,0.279,0.429216867,0.511494253,0.94071112,0.291457286,14.56456456,20.27027027,568,708,156,88,32,1,35,97,109,132,11,129,2,5,1,12,5,7,0.275,0.41,0.519,0.93,0.296,18.2,18.6,0.7500000000608197,0.23275862067777087,0.017241379310065197,0.0450450450423728,0.7272727272727273,0.2644628099173554,0.008264462809917356,0.0494350282485875,123.31531531,121
4,Trea Turner,PHI,152,632.8105263,691,184.9593985,122.6135338,35.32932331,4.156390977,22.86015038,104.9488722,84.16691729,46.7593985,1.039097744,120.5353383,5.195488722,5.195488722,2.078195489,30.13383459,6.234586466,23.89924812,0.292,0.343373494,0.469622332,0.812995826,0.327731092,17.44360902,6.766917293,639,691,170,104,35,5,26,102,76,45,2,150,6,1,0,30,0,30,0.266,0.32,0.459,0.778,0.31,21.7,6.5,0.7564102561982938,0.21794871795979062,0.025641025638336565,0.033082706772793,0.7222222222222222,0.24305555555555555,0.034722222222222224,0.0376266280752532,162.09924812,144
5,Matt Olson,ATL,154,622.9090909,720,156.0,82.90909091,33.81818182,1.090909091,38.18181818,98.18181818,110.1818182,82.90909091,5.454545455,160.3636364,7.636363636,5.454545455,1.090909091,2.181818182,1.090909091,1.090909091,0.25,0.342943854,0.492119089,0.835062944,0.274111675,22.27272727,11.51515152,608,720,172,88,27,3,54,127,139,104,8,167,4,4,0,1,0,1,0.283,0.389,0.604,0.993,0.302,23.2,14.4,0.7037037037005601,0.2870370370480395,0.009259259259887975,0.0530303030277777,0.7457627118644068,0.2288135593220339,0.025423728813559324,0.075,117.81818182,118
6,Vladimir Guerrero Jr.,TOR,152,604.3823976,682,174.8983308,103.4901366,34.15174507,1.034901366,36.2215478,99.35053111,105.5599393,66.23368741,5.174506829,106.5948407,6.209408194,3.104704097,0.0,6.209408194,2.069802731,4.139605463,0.289,0.363774734,0.529109589,0.892884323,0.29844098,15.62974203,9.71168437,602,682,159,103,30,0,26,78,94,67,5,100,9,4,0,5,3,2,0.264,0.345,0.444,0.788,0.277,14.7,9.8,0.7462686569531974,0.24626865673686701,0.007462686569531973,0.0531107739002932,0.7744360902255639,0.22556390977443608,0.0,0.0381231671554252,138.676783,133
7,Bo Bichette,TOR,151,555.331307,601,158.0136778,99.55775076,33.79483283,1.82674772,23.74772036,85.85714286,81.29027356,37.44832827,0.0,123.3054711,3.653495441,3.653495441,0.91337386,14.61398176,4.566869301,10.04711246,0.285,0.331811263,0.481907895,0.813719158,0.32594235,20.51671733,6.23100304,571,601,175,122,30,3,20,69,73,27,0,115,2,1,0,5,3,2,0.306,0.339,0.475,0.814,0.355,19.1,4.5,0.7414965986779619,0.251700680309095,0.013605442174844105,0.0395136778036605,0.7870967741935484,0.1935483870967742,0.01935483870967742,0.0332778702163061,134.26595744000002,155
8,Pete Alonso,NYM,154,573.8721461,658,151.2298326,85.12937595,27.04109589,1.00152207,38.05783866,89.13546423,110.1674277,67.10197869,8.01217656,131.1993912,12.01826484,5.00761035,0.0,4.00608828,1.00152207,3.00456621,0.263,0.350076104,0.513089005,0.863165109,0.276283619,19.9391172,10.1978691,568,658,123,54,21,2,46,92,118,65,6,151,21,4,0,4,1,3,0.217,0.318,0.504,0.821,0.205,22.9,9.9,0.752212389181132,0.23893805303400664,0.008849557519778024,0.0578386605775076,0.7012987012987013,0.2727272727272727,0.025974025974025976,0.0699088145896656,113.17199394000001,77
9,Francisco Lindor,NYM,151,610.4335878,687,155.2305344,99.64122137,27.27022901,3.146564885,24.12366412,92.29923664,90.20152672,60.83358779,2.097709924,124.8137405,8.390839695,5.244274809,2.097709924,15.73282443,5.244274809,10.48854962,0.254,0.327718224,0.426116838,0.753835062,0.280898876,18.16793893,8.854961832,602,687,153,87,33,2,31,108,98,66,1,137,12,7,0,31,4,27,0.254,0.336,0.47,0.806,0.277,19.9,9.6,0.7599999996735487,0.20799999993715051,0.023999999986880932,0.0351145038136826,0.7131147540983607,0.27049180327868855,0.01639344262295082,0.0451237263464337,131.10687028,122
10,Manny Machado,SDP,152,533.9159021,601,145.1957187,89.13914373,26.64984709,0.918960245,27.56880734,84.54434251,90.97706422,58.81345566,6.432721713,111.1941896,2.756880734,5.513761468,0.0,9.189602446,2.756880734,6.432721713,0.272,0.344036697,0.47848537,0.822522067,0.293577982,18.50152905,9.785932722,543,601,140,89,21,0,30,75,91,50,1,109,2,6,0,3,2,1,0.258,0.319,0.462,0.782,0.268,18.1,8.3,0.7578124997024491,0.2265624998724782,0.007812500000000002,0.0458715596339434,0.8090909090909091,0.19090909090909092,0.0,0.0499168053244592,117.62691135999998,110
