#,Name,Team,GS,G,IP,TBF,W,L,QS,SV,HLD,BS,H,R,ER,HR,IBB,HBP,SO,BB,K/9,BB/9,ERA,WHIP,K%,BB%
144,Luis Garcia,,0,53,54.0,230,3,3,0,2,9,2,53,26,24,6,1,3,49,16,8.15,2.69,4.01,1.28,21.304347826086957,6.956521739130435
145,Mike Burrows,PIT,3,28,47.0,202,4,2,1,0,1,0,46,25,23,6,0,2,42,18,8.14,3.48,4.47,1.36,20.792079207920793,8.91089108910891
146,Jonathan Loaisiga,NYY,0,35,37.0,156,2,2,0,0,4,2,35,16,15,4,1,2,29,11,7.1,2.63,3.56,1.24,18.58974358974359,7.051282051282051
147,Jake Cousins,NYY,0,55,56.1,242,3,3,0,2,14,1,45,25,23,6,1,4,68,29,10.81,4.59,3.74,1.31,28.09917355371901,11.983471074380166
148,Louie Varland,MIN,4,36,54.2,233,3,3,1,0,2,0,55,29,27,8,1,2,53,16,8.76,2.69,4.38,1.3,22.746781115879827,6.866952789699571
149,Alexis Diaz,CIN,0,63,63.2,275,4,4,0,24,5,4,54,33,30,8,2,5,68,32,9.59,4.51,4.27,1.35,24.727272727272727,11.636363636363637
150,Derek Law,WSN,0,68,71.2,305,4,4,0,9,14,4,69,33,30,8,1,3,61,24,7.7,3.04,3.8,1.31,20.0,7.868852459016394
151,Jose Leclerc,ATH,0,63,64.1,274,3,4,0,4,14,4,53,30,28,8,1,4,76,30,10.56,4.21,3.86,1.28,27.73722627737226,10.948905109489052
152,Jacob Waguespack,TBR,2,36,48.1,209,2,2,0,0,2,0,45,24,22,6,1,2,50,21,9.37,3.89,4.11,1.37,23.923444976076556,10.047846889952153
153,Will Warren,NYY,3,24,38.2,165,2,3,1,0,1,0,37,19,18,5,0,2,38,13,8.87,3.11,4.13,1.3,23.03030303030303,7.878787878787878
154,Jose Butto,NYM,1,52,66.1,279,5,3,1,1,12,2,55,30,28,8,1,3,66,28,8.97,3.76,3.74,1.25,23.655913978494624,10.03584229390681
155,Andrew Chafin,,0,51,49.2,214,3,3,0,2,9,2,44,23,21,5,1,2,56,24,10.13,4.3,3.86,1.36,26.168224299065418,11.214953271028037
156,Jorge Alcala,MIN,0,58,60.2,255,3,3,0,0,15,2,52,30,27,8,1,3,63,23,9.35,3.39,4.03,1.24,24.705882352941178,9.019607843137255
157,Jalen Beeks,,1,41,43.2,189,3,3,0,2,5,2,43,22,20,5,1,2,41,17,8.33,3.48,4.07,1.36,21.693121693121693,8.994708994708994
158,Robert Stephenson,LAA,0,38,38.0,158,2,2,0,2,6,2,33,18,17,6,1,1,45,12,10.72,2.89,3.94,1.2,28.48101265822785,7.59493670886076
159,Jose Suarez,LAA,4,42,64.0,277,3,3,1,3,5,2,62,35,32,9,1,3,63,25,8.82,3.5,4.48,1.36,22.743682310469314,9.025270758122744
160,John Brebbia,,1,45,44.2,188,2,3,0,1,7,2,42,23,21,7,1,2,48,15,9.68,2.94,4.26,1.26,25.53191489361702,7.9787234042553195
161,Connor Thomas,MIL,0,39,42.2,183,2,2,0,0,4,0,46,21,19,4,1,2,32,12,6.83,2.47,4.02,1.36,17.48633879781421,6.557377049180328
162,Jhony Brito,SDP,3,29,46.0,197,3,3,0,0,1,1,47,24,22,6,1,2,35,14,6.86,2.79,4.25,1.34,17.766497461928935,7.1065989847715745
163,Carmen Mlodzinski,PIT,1,54,59.2,258,4,4,0,1,11,2,57,29,27,6,1,3,55,24,8.2,3.6,4.03,1.35,21.31782945736434,9.30232558139535
164,Danny Young,NYM,0,49,47.2,205,3,2,0,0,9,0,41,22,20,5,1,5,52,21,9.92,3.98,3.84,1.31,25.365853658536587,10.24390243902439
165,Brusdar Graterol,LAD,0,21,21.0,87,1,1,0,1,4,1,19,8,7,2,0,1,18,6,7.49,2.42,3.18,1.17,20.689655172413794,6.896551724137931
166,Sean Guenther,DET,0,51,54.0,229,4,3,0,0,7,2,53,24,22,5,1,3,43,16,7.14,2.59,3.67,1.27,18.777292576419214,6.986899563318777
167,Anthony Banda,LAD,1,50,51.0,220,3,2,0,0,9,1,49,25,23,6,2,3,51,20,9.01,3.53,4.0,1.35,23.18181818181818,9.090909090909092
168,Yilber Diaz,ARI,3,34,52.2,226,3,3,1,0,1,0,47,27,24,6,1,2,55,23,9.44,4.01,4.17,1.34,24.336283185840706,10.176991150442479
