#,Name,Team,GS,G,IP,TBF,W,L,QS,SV,HLD,BS,H,R,ER,HR,IBB,HBP,SO,BB,K/9,BB/9,ERA,WHIP
134,Spencer Arrighetti,HOU,26,26,141.1,609,8,9,10,0,0,,130,74,69,21,0,7,144,61,9.18,3.89,4.4,1.35
135,Tobias Myers,MIL,24,24,135,581,8,9,10,0,0,,135,71,67,22,0,5,120,42,8.03,2.81,4.45,1.31
136,Rhett Lowder,CIN,18,42,124.1,536,7,8,7,0,1,,130,68,63,18,1,5,102,40,7.37,2.88,4.55,1.37
137,Dustin May,LAD,8,49,86.2,362,5,4,4,0,1,,77,38,35,10,1,4,93,29,9.7,3.04,3.65,1.23
138,Zack Littell,TBR,23,38,140.1,594,8,9,9,0,1,,142,72,67,22,1,5,121,34,7.74,2.2,4.33,1.26
139,DL Hall,MIL,13,62,120.1,517,7,7,6,0,1,,108,57,53,15,1,6,124,52,9.31,3.9,3.95,1.34
140,Kyle Wright,KCR,13,35,94.2,405,5,6,6,0,1,,96,47,44,10,1,5,80,31,7.65,2.98,4.15,1.35
141,Tyler Anderson,LAA,29,29,171.1,750,9,12,13,0,0,,177,97,91,28,1,7,136,63,7.14,3.31,4.75,1.4
142,Yariel Rodríguez,TOR,11,59,106.1,456,6,6,4,0,1,,94,51,47,14,1,5,115,44,9.7,3.71,3.97,1.3
143,Dean Kremer,BAL,24,24,135,580,8,9,10,0,0,,135,71,67,21,0,5,119,45,7.94,3.03,4.44,1.34
144,Spencer Turnbull,,18,18,98.1,423,6,6,8,0,0,,98,50,46,12,0,5,87,34,7.97,3.08,4.22,1.33
145,Cade Cavalli,WSN,16,44,120.1,514,7,7,7,0,1,,113,60,56,16,1,7,113,45,8.48,3.37,4.18,1.31
146,Zebby Matthews,MIN,11,39,89.1,373,5,5,5,0,1,,89,43,40,13,1,3,80,19,8.05,1.89,3.99,1.2
147,Patrick Corbin,,24,24,134.2,581,8,9,10,0,0,,144,73,68,20,1,4,102,41,6.84,2.74,4.52,1.37
148,Lance McCullers Jr.,HOU,11,39,92.2,394,5,5,5,0,1,,88,44,40,10,1,4,90,35,8.69,3.35,3.9,1.32
149,Simeon Woods Richardson,MIN,26,26,137.2,600,8,10,9,0,0,,140,77,72,21,0,5,116,51,7.59,3.35,4.69,1.39
150,Quinn Mathews,STL,16,16,92.1,395,6,6,8,0,0,,88,44,41,11,0,4,83,35,8.14,3.38,3.97,1.33
151,Johan Oviedo,PIT,21,33,130.1,569,7,9,9,0,1,,131,70,65,16,1,7,111,54,7.66,3.76,4.49,1.42
152,JP Sears,ATH,31,31,177.2,761,9,12,13,0,0,,180,97,91,30,1,10,145,52,7.33,2.65,4.61,1.3
153,Matt Waldron,SDP,21,21,118,504,7,8,9,0,0,,119,64,60,19,0,6,95,35,7.21,2.68,4.56,1.31
154,Sean Burke,CHW,23,33,138.2,607,7,10,9,0,1,,135,77,73,22,1,6,128,62,8.28,4.01,4.71,1.42
155,Jonathan Cannon,CHW,26,34,164,716,7,12,12,0,1,,174,94,87,26,1,7,123,58,6.77,3.18,4.79,1.42
156,Randy Vásquez,SDP,26,34,147.2,642,8,10,9,0,1,,153,82,77,22,1,9,111,51,6.78,3.12,4.67,1.38
157,Martín Pérez,CHW,24,24,139.2,615,7,10,10,0,0,,150,78,72,20,0,6,104,52,6.68,3.33,4.67,1.45
158,Michael Lorenzen,KCR,18,58,139.1,611,7,9,7,0,1,,144,77,71,18,1,6,112,56,7.24,3.64,4.6,1.44
159,Bailey Falter,PIT,23,40,138,593,7,10,8,0,1,,146,76,71,21,1,4,104,41,6.78,2.69,4.64,1.36
160,Jordan Hicks,SFG,23,40,139,601,8,9,10,0,1,,134,68,63,14,1,8,126,59,8.14,3.8,4.06,1.38
161,Jordan Montgomery,ARI,16,42,115.2,495,7,7,7,0,1,,122,59,54,14,1,4,91,33,7.07,2.56,4.21,1.34
162,Austin Gomber,COL,29,29,166.1,728,8,13,10,0,0,,194,104,98,30,1,5,119,46,6.44,2.51,5.28,1.44
163,Michael Soroka,WSN,15,53,118.1,509,6,7,6,0,1,,112,60,56,16,1,6,110,46,8.39,3.54,4.27,1.34
164,Kyle Hendricks,LAA,24,24,131.2,575,7,9,8,0,0,,146,77,72,22,1,5,93,38,6.33,2.58,4.89,1.4
165,Paul Blackburn,NYM,13,49,107.2,459,6,6,5,0,1,,108,53,49,14,2,4,93,31,7.79,2.55,4.09,1.29
166,Joey Cantillo,CLE,13,39,97.2,419,6,6,6,0,1,,88,47,43,12,1,4,99,43,9.18,3.93,3.96,1.34
167,Tony Gonsolin,LAD,23,42,145.1,631,8,9,9,0,1,,147,81,76,24,1,6,129,50,8,3.09,4.69,1.36
168,Javier Assad,CHC,23,47,146.2,637,8,9,9,0,1,,148,78,72,20,1,6,124,56,7.62,3.41,4.44,1.39
169,Mitch Spence,ATH,19,40,128.2,549,7,8,8,0,1,,133,66,61,17,1,6,100,38,7,2.69,4.28,1.33
170,Cody Bradford,TEX,11,48,100.1,423,6,6,5,0,1,,99,50,46,16,1,4,90,23,8.06,2.02,4.16,1.21
171,Grant Holmes,ATL,15,45,111.1,477,7,6,6,0,1,,112,57,53,15,1,5,100,36,8.11,2.89,4.29,1.33
172,Ian Anderson,ATL,16,28,103,448,6,6,7,0,1,,105,54,50,13,1,3,88,40,7.68,3.51,4.35,1.41
173,Marcus Stroman,NYY,16,44,116.2,509,7,7,6,0,1,,124,62,57,15,1,5,90,39,6.96,3.01,4.38,1.39
174,Hayden Wesneski,HOU,13,57,115.1,490,6,7,5,0,1,,112,59,54,17,1,5,108,38,8.4,2.94,4.25,1.3
