#,Name,Team,GS,G,IP,TBF,W,L,QS,SV,HLD,BS,H,R,ER,HR,IBB,HBP,SO,BB,K/9,BB/9,ERA,WHIP
154,Ryne Nelson,ARI,12,34,89.1,382,4,5,2,0,1,,89,48,45,12,2,3,73,26,7.38,2.57,4.49,1.28
155,Tyler Anderson,LAA,29,29,171.1,745,9,11,14,0,0,,166,101,95,28,1,7,136,70,7.16,3.67,4.99,1.38
156,Dustin May,LAD,10,34,78.2,332,4,4,0,0,1,,73,38,35,8,1,5,65,25,7.49,2.92,4.03,1.25
157,Rhett Lowder,CIN,18,31,110,477,5,8,2,0,1,,114,63,59,15,1,5,90,36,7.39,2.97,4.81,1.36
158,JP Sears,ATH,30,30,172.1,738,9,12,14,0,0,,171,102,95,33,1,10,137,50,7.14,2.63,4.98,1.28
159,Cade Povich,BAL,15,25,87,372,5,6,2,0,1,,80,45,42,12,1,3,81,33,8.33,3.37,4.33,1.29
160,Aaron Ashby,MIL,11,33,85,366,4,5,1,1,1,,76,40,37,8,1,4,82,39,8.69,4.13,3.95,1.35
161,Omar Cruz,SDP,11,25,74.1,318,4,5,2,0,0,,67,37,34,9,1,4,73,30,8.9,3.62,4.14,1.3
162,Luis Garcia,HOU,14,28,90.2,381,4,6,1,0,1,,81,47,44,15,1,3,88,30,8.78,2.94,4.37,1.22
163,Ben Brown,CHC,4,25,47.1,196,1,2,-1,0,1,,37,19,17,5,1,2,55,17,10.4,3.19,3.31,1.14
164,Germán Márquez,COL,23,23,130.1,573,6,10,10,0,0,,145,83,77,20,0,4,105,44,7.23,3.05,5.33,1.45
165,Hayden Wesneski,HOU,10,40,90.2,379,4,5,0,0,1,,80,43,41,13,2,4,85,29,8.43,2.9,4.02,1.2
166,Yariel Rodríguez,TOR,14,37,92.1,397,4,6,0,0,1,,77,46,44,12,1,6,94,43,9.17,4.24,4.25,1.31
167,Michael Lorenzen,KCR,20,39,129.2,563,6,8,2,0,1,,124,70,66,16,1,6,98,54,6.76,3.74,4.56,1.37
168,Jack Leiter,TEX,16,30,104.1,448,5,6,2,0,1,,92,56,52,16,1,6,107,44,9.22,3.77,4.53,1.3
169,Ben Lively,CLE,25,25,138.2,598,8,11,10,0,0,,140,81,76,23,0,7,104,44,6.75,2.87,4.94,1.33
170,Cal Quantrill,,20,20,106,462,7,9,7,0,0,,106,61,58,14,0,6,81,41,6.88,3.49,4.89,1.39
171,Randy Vásquez,SDP,22,26,120,525,7,9,7,0,1,,127,72,68,17,1,7,86,42,6.46,3.19,5.07,1.41
172,Michael McGreevy,STL,4,29,51.1,213,1,2,-2,0,1,,48,22,20,4,1,2,43,13,7.61,2.2,3.53,1.19
173,Davis Martin,CHW,24,25,129.2,568,7,11,9,0,0,,138,79,73,21,0,7,106,45,7.36,3.1,5.08,1.41
174,Tony Gonsolin,LAD,19,31,116,496,7,7,3,0,1,,111,64,60,18,1,5,93,39,7.23,3.05,4.62,1.3
175,Paul Blackburn,NYM,13,35,92,397,4,5,1,0,1,,92,51,48,12,1,4,77,32,7.48,3.1,4.67,1.35
176,Marcus Stroman,NYY,17,33,109.2,474,5,7,2,0,1,,111,60,55,13,1,5,78,38,6.42,3.14,4.55,1.36
177,DL Hall,MIL,10,41,84.1,363,3,5,-2,0,1,,72,40,37,9,2,4,88,40,9.35,4.26,3.99,1.33
178,Trevor Williams,WSN,20,35,118,509,5,9,2,0,1,,120,67,63,18,1,5,94,38,7.17,2.92,4.77,1.34
179,Tylor Megill,NYM,6,36,66.2,283,2,3,-2,0,1,,59,32,30,8,2,3,71,25,9.61,3.41,4.01,1.26
180,Mitch Spence,ATH,20,29,123,528,6,9,6,0,1,,126,70,66,20,1,6,97,37,7.06,2.7,4.79,1.32
181,Kyle Hart,,12,12,66.1,284,4,5,5,0,0,,65,36,33,10,0,3,63,22,8.48,2.92,4.54,1.3
182,Jakob Junis,,11,17,68.2,292,4,5,3,0,0,,70,38,35,11,0,3,59,17,7.76,2.24,4.62,1.27
183,Antonio Senzatela,COL,21,25,111.1,497,5,10,6,0,1,,136,74,69,15,1,5,69,34,5.55,2.77,5.61,1.52
184,Adam Mazur,MIA,12,21,67,288,3,6,0,0,1,,69,37,34,9,1,3,52,20,6.98,2.75,4.61,1.33
185,Kyle Wright,KCR,12,27,78.1,340,4,5,2,0,1,,79,42,39,9,1,5,65,28,7.42,3.24,4.48,1.36
186,Osvaldo Bido,ATH,10,36,82.1,357,3,5,0,0,1,,74,44,42,11,1,6,80,35,8.77,3.84,4.56,1.33
187,Martín Pérez,CHW,26,26,146.2,645,8,12,11,0,0,,160,89,83,22,0,6,99,53,6.08,3.27,5.08,1.45
188,Matt Manning,DET,9,29,71,301,3,4,0,0,1,,66,36,34,9,1,3,57,24,7.27,3.03,4.26,1.26
189,Ian Anderson,ATL,13,21,78,338,5,5,2,0,1,,78,42,39,9,1,3,63,32,7.3,3.66,4.51,1.4
190,Patrick Corbin,,20,21,111.1,489,7,10,8,0,0,,125,71,66,18,0,3,87,36,7.02,2.92,5.33,1.45
191,Drew Thorpe,CHW,18,18,98.1,421,5,7,7,0,0,,97,54,50,16,0,4,69,33,6.35,3.05,4.6,1.32
192,Kenta Maeda,DET,6,44,76,320,2,1,0,0,6,,71,39,36,11,2,3,70,21,8.28,2.52,4.25,1.21
193,Chris Flexen,,16,17,85,370,5,7,5,0,0,,87,50,47,13,0,3,66,31,6.99,3.29,4.97,1.39
194,Braxton Ashcraft,PIT,5,26,50,212,1,3,-1,0,0,,47,24,23,6,1,2,47,15,8.37,2.67,4.1,1.23
195,Kyle Hendricks,LAA,22,22,120.1,516,7,8,9,0,0,,127,72,68,21,0,5,78,33,5.86,2.49,5.06,1.33
196,AJ Smith-Shawver,ATL,9,29,67.2,290,3,4,0,0,1,,59,35,33,10,1,3,73,29,9.68,3.81,4.34,1.29
197,Spencer Turnbull,,10,12,55.2,239,4,4,3,0,0,,52,29,27,7,0,4,51,21,8.3,3.34,4.42,1.31
198,Colin Rea,CHC,18,32,116,498,6,8,3,0,1,,117,67,62,19,1,5,90,35,6.94,2.72,4.84,1.31
199,Sawyer Gipson-Long,DET,6,31,59.1,250,2,3,-2,0,1,,55,30,28,8,1,3,61,17,9.18,2.62,4.23,1.22
200,Louie Varland,MIN,4,36,64.2,277,1,1,0,0,7,,64,33,31,8,2,3,63,21,8.74,2.86,4.32,1.3
201,J.T. Ginn,ATH,12,26,77.2,334,4,5,2,0,1,,76,41,38,10,1,5,61,27,7.03,3.09,4.44,1.32
202,Brady Basso,ATH,3,30,54.1,226,1,1,0,0,1,,47,24,23,7,1,2,56,17,9.26,2.85,3.75,1.18
203,Ross Stripling,,13,14,71,304,4,6,5,0,0,,77,41,38,11,0,2,46,17,5.8,2.15,4.83,1.32
204,Valente Bellozo,MIA,14,28,91.1,392,3,7,1,0,1,,91,51,48,15,1,4,67,28,6.62,2.75,4.7,1.31
205,Jordan Wicks,CHC,8,22,51.1,217,2,3,0,0,1,,48,25,23,6,1,2,46,17,8.16,3.05,4.08,1.27
206,Bryce Elder,ATL,8,18,54,232,3,3,2,0,1,,53,27,26,6,1,2,45,19,7.4,3.15,4.25,1.33
207,Keider Montero,DET,10,23,69.2,301,3,5,2,0,1,,70,39,36,10,1,4,57,24,7.38,3.09,4.71,1.35
208,Griffin Canning,NYM,12,35,91.2,393,4,5,1,0,1,,87,50,47,14,1,4,77,32,7.53,3.18,4.57,1.31
209,Landon Knack,LAD,4,31,54.1,227,1,1,0,0,1,,47,26,25,8,1,3,57,17,9.54,2.9,4.09,1.19
210,Bobby Miller,LAD,6,29,56,237,2,3,-1,0,1,,52,28,26,7,1,3,50,19,8.07,3.06,4.16,1.27
211,Anthony DeSclafani,,11,11,60.1,257,3,4,4,0,0,,62,34,32,10,0,2,45,16,6.79,2.42,4.75,1.31
212,Dane Dunning,TEX,6,49,85.2,367,2,1,0,0,5,,79,44,41,11,2,6,78,32,8.16,3.33,4.33,1.3
213,Lance McCullers Jr.,HOU,8,18,52.2,227,3,3,1,0,1,,48,27,25,6,1,3,49,23,8.34,3.89,4.26,1.35
214,Austin Gomber,COL,28,28,159.1,701,7,13,13,0,0,,186,108,101,30,0,4,110,46,6.21,2.59,5.69,1.45
215,Trevor Rogers,BAL,8,22,54.1,235,3,3,0,0,1,,53,30,28,7,1,2,46,21,7.66,3.47,4.64,1.37
216,Joey Estes,ATH,23,24,124.2,533,7,10,8,0,0,,127,76,71,27,1,6,90,31,6.47,2.23,5.12,1.27
217,Keaton Winn,SFG,6,9,36.2,157,2,2,1,0,1,,37,19,18,4,0,2,32,11,7.81,2.71,4.44,1.31
218,Will Warren,NYY,3,24,41.2,178,1,1,0,0,1,,37,20,18,5,1,2,45,16,9.63,3.42,3.94,1.28
219,Jack Kochanowicz,LAA,15,26,94.1,407,5,6,3,0,1,,102,54,50,13,1,5,55,26,5.26,2.44,4.81,1.36
220,Tyler Alexander,,9,11,52.1,222,3,4,3,0,0,,53,30,28,9,0,2,42,12,7.28,2.14,4.75,1.25
221,Richard Fitts,BOS,5,31,54.2,232,1,3,-2,0,1,,52,29,27,8,1,2,48,17,7.88,2.77,4.36,1.25
222,Mason Black,SFG,5,25,45.2,196,2,3,-2,0,1,,42,24,22,6,1,3,44,18,8.67,3.49,4.37,1.31
223,Bryse Wilson,CHW,12,34,92.2,402,3,6,2,0,1,,98,54,51,15,1,4,67,28,6.53,2.7,4.91,1.36
224,Joe Boyle,TBR,4,27,47.1,207,1,2,-2,0,1,,34,22,21,5,1,3,58,32,11.13,6.09,4.01,1.4
225,Chayce McDermott,BAL,4,18,36.1,157,2,2,-1,0,1,,29,18,17,5,1,2,42,18,10.3,4.48,4.07,1.3
226,Kyle Bradish,BAL,4,4,19.1,81,1,1,1,0,0,,17,8,8,2,0,1,19,6,9.04,2.77,3.65,1.2
227,Triston McKenzie,CLE,16,26,93.1,404,4,7,3,0,1,,83,54,50,16,1,4,84,43,8.06,4.16,4.87,1.36
228,Cooper Criswell,BOS,3,24,42,181,1,1,0,0,1,,43,22,21,5,1,3,33,12,7.12,2.59,4.46,1.32
