#,Name,Team,G,AB,PA,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,SB,CS,NSB,AVG,OBP,SLG,OPS,BABIP,K%,BB%,real_AB,real_PA,real_H,real_1B,real_2B,real_3B,real_HR,real_R,real_RBI,real_BB,real_IBB,real_SO,real_HBP,real_SF,real_SH,real_SB,real_CS,real_NSB,real_AVG,real_OBP,real_SLG,real_OPS,real_BABIP,real_K%,real_BB%,1B%,2B%,3B%,HR%,real_1B%,real_2B%,real_3B%,real_HR%,HIP,real_HIP
89,Mitch Haniger,SFG,133,204.1686747,229,50.84509466,31.53184165,9.459552496,0.788296041,9.459552496,27.59036145,30.34939759,19.70740103,0.788296041,53.99827883,2.759036145,1.576592083,0.788296041,0.394148021,0.394148021,0.0,0.249,0.321243523,0.444015444,0.765258967,0.290858726,23.58003442,8.605851979,211,229,44,24,13,1,6,27,28,15,0,65,2,1,0,1,0,1,0.209,0.266,0.365,0.631,0.27,28.4,6.6,0.761904761934678,0.22857142860456645,0.019047619042326193,0.0413080895021834,0.631578947368421,0.34210526315789475,0.02631578947368421,0.0262008733624454,41.385542164,38
90,Lane Thomas,WSN,130,605.7005164,682,143.2082616,86.86402754,31.69363167,2.34767642,22.30292599,83.34251291,68.08261618,61.03958692,0.0,163.1635112,5.86919105,4.69535284,5.86919105,14.08605852,5.86919105,8.21686747,0.236,0.310225303,0.406976744,0.717202047,0.284530387,23.9242685,8.950086059,628,682,168,101,36,3,28,101,86,36,0,176,11,7,0,20,5,15,0.268,0.315,0.468,0.783,0.325,25.8,5.3,0.7184466020605921,0.2621359223734593,0.019417475731367356,0.0327022375219941,0.7214285714285714,0.2571428571428571,0.02142857142857143,0.0410557184750733,120.90533560999998,140
91,Corbin Carroll,ARI,126,564.9310345,645,133.4482759,80.06896552,26.68965517,7.784482759,18.90517241,84.51724138,62.27586207,61.1637931,2.224137931,172.3706897,8.896551724,4.448275862,5.560344828,20.01724138,6.672413793,13.34482759,0.236,0.31826087,0.411417323,0.729678192,0.302941176,26.72413793,9.482758621,565,645,161,96,30,10,25,116,76,57,1,125,13,4,6,54,5,49,0.285,0.362,0.506,0.868,0.325,19.4,8.8,0.6990291259830436,0.2330097086319134,0.06796116502709927,0.0293103448217054,0.7058823529411765,0.22058823529411764,0.07352941176470588,0.0387596899224806,114.54310349,136
92,Michael Harris II,ATL,141,494.3160622,539,134.9827288,84.71329879,29.78929188,2.792746114,18.61830743,67.95682211,70.74956822,32.582038,0.930915371,119.1571675,5.585492228,4.654576857,1.861830743,19.5492228,6.516407599,13.0328152,0.274,0.322357019,0.459510358,0.781867377,0.322164948,22.10708117,6.044905009,505,539,148,94,33,3,18,76,57,25,1,101,5,3,1,20,4,16,0.293,0.331,0.477,0.808,0.334,18.7,4.6,0.7280000002804982,0.2560000000797495,0.024000000009624937,0.0345423143413729,0.7230769230769231,0.25384615384615383,0.023076923076923078,0.0333951762523191,116.36442136999999,130
93,Thairo Estrada,SFG,133,479.6545769,530,122.6597582,82.38341969,22.88428325,1.83074266,14.64594128,63.16062176,57.66839378,33.86873921,0.0,90.62176166,9.153713299,3.66148532,2.74611399,17.39205527,6.407599309,10.98445596,0.256,0.314782609,0.400763359,0.715545967,0.285714286,17.0984456,6.390328152,495,530,134,92,26,2,14,63,49,22,1,120,11,2,0,23,7,16,0.271,0.315,0.416,0.731,0.331,22.6,4.2,0.7627118644554238,0.21186440681889016,0.016949152545511215,0.0276338514716981,0.7666666666666667,0.21666666666666667,0.016666666666666666,0.0264150943396226,108.01381692,120
94,Anthony Rizzo,NYY,131,362.1036269,421,87.25388601,51.62521589,14.54231434,0.727115717,19.63212435,55.26079447,57.44214162,42.89982729,3.635578584,74.89291883,12.36096718,2.908462867,0.727115717,5.816925734,2.908462867,2.908462867,0.241,0.339100346,0.445783133,0.784883479,0.25,17.78929188,10.18998273,373,421,91,65,14,0,12,45,41,35,1,97,12,1,0,0,3,-3,0.244,0.328,0.378,0.706,0.298,23.0,8.3,0.7634408602007426,0.21505376350764535,0.010752688175382268,0.0466321243467933,0.8227848101265823,0.17721518987341772,0.0,0.0285035629453681,67.62176166,79
95,Jorge Soler,MIA,130,505.8721934,580,116.2003454,65.11226252,24.04145078,1.001727116,25.04317789,73.12607945,71.12262522,60.10362694,1.001727116,155.2677029,6.010362694,4.006908463,3.005181347,2.003454231,1.001727116,1.001727116,0.229,0.316521739,0.427722772,0.744244511,0.276595745,26.77029361,10.3626943,504,580,126,66,24,0,36,77,75,66,4,141,6,4,0,1,0,1,0.25,0.341,0.512,0.853,0.272,24.3,11.4,0.7142857144267579,0.26373626382547083,0.010989010994556297,0.0431778929137931,0.7333333333333333,0.26666666666666666,0.0,0.0620689655172413,91.15716751000001,90
96,Ke'Bryan Hayes,PIT,136,470.5017301,525,120.8044983,79.93079585,27.24913495,2.724913495,10.89965398,58.13148789,52.6816609,43.59861592,0.0,112.6297578,4.541522491,3.633217993,2.724913495,17.25778547,5.44982699,11.80795848,0.256,0.323478261,0.395752896,0.719231157,0.313471503,21.4532872,8.30449827,494,525,134,81,31,7,15,65,61,28,1,104,0,3,0,10,6,4,0.271,0.309,0.453,0.762,0.315,19.8,5.3,0.7272727270990232,0.24793388424864288,0.02479338842486429,0.0207612456761904,0.680672268907563,0.2605042016806723,0.058823529411764705,0.0285714285714285,109.90484432000001,119
97,Max Muncy,LAD,134,483.8356401,579,108.1868512,61.10553633,21.03633218,1.001730104,25.0432526,74.12802768,76.13148789,82.14186851,2.003460208,134.2318339,7.012110727,4.006920415,1.001730104,2.003460208,1.001730104,1.001730104,0.224,0.342013889,0.426501035,0.768514924,0.25304878,23.183391,14.18685121,482,579,102,48,17,1,36,95,105,85,4,153,6,6,0,1,2,-1,0.212,0.333,0.475,0.808,0.221,26.4,14.7,0.734939759150622,0.2530120482420399,0.0120481927757214,0.0432525951640759,0.7272727272727273,0.25757575757575757,0.015151515151515152,0.0621761658031088,83.1435986,66
98,MJ Melendez,KCR,128,521.5243056,602,121.2361111,68.97916667,26.12847222,3.135416667,22.99305556,77.34027778,67.93402778,70.02430556,1.045138889,135.8680556,3.135416667,4.180555556,4.180555556,5.225694444,2.090277778,3.135416667,0.232,0.32460733,0.426853707,0.751461037,0.267806268,22.56944444,11.63194444,533,602,125,75,29,5,16,65,56,62,2,170,3,4,0,6,4,2,0.235,0.316,0.398,0.713,0.311,28.2,10.3,0.7021276597195706,0.26595744682800204,0.031914893625467546,0.0381944444518272,0.6880733944954128,0.26605504587155965,0.045871559633027525,0.0265780730897009,98.24305554,109
