#,Name,Team,GS,G,IP,TBF,W,L,QS,SV,HLD,BS,H,R,ER,HR,IBB,HBP,SO,BB,K/9,BB/9,ERA,WHIP
326,Kyle Nelson,ARI,0,21,21,90,1,1,0,0,1,,20,10,10,3,1,1,19,8,8.32,3.4,4.13,1.35
327,Cole Sulser,TBR,0,44,44,189,2,2,0,0,1,,41,22,20,6,1,2,41,18,8.46,3.7,4.08,1.34
328,Travis Adams,MIN,2,19,26.1,113,1,1,1,0,1,,28,14,13,4,0,1,20,8,6.76,2.77,4.42,1.36
329,Tommy Henry,ARI,0,28,28,119,1,1,0,0,1,,27,13,12,3,1,1,26,9,8.28,3.01,3.94,1.3
330,Mason Thompson,WSN,0,52,52,223,2,3,0,2,6,,51,26,24,6,1,2,43,20,7.52,3.49,4.16,1.37
331,Logan Henderson,MIL,0,10,10,42,1,0,0,0,1,,9,5,4,1,0,0,11,3,9.65,2.61,3.82,1.18
332,Hagen Danner,SEA,0,28,28,118,1,1,0,0,1,,25,13,12,4,1,1,29,10,9.17,3.2,3.8,1.25
333,Kyle Nicolas,PIT,0,60,60,261,3,3,0,1,11,,55,29,27,7,1,3,61,28,9.21,4.18,4.11,1.38
334,Ray Kerr,ATL,0,8,8,34,0,0,0,0,1,,7,3,3,1,0,0,9,3,10.34,3.63,3.62,1.26
335,Hunter Dobbins,BOS,0,21,21,90,1,1,0,0,1,,21,11,10,3,1,1,17,7,7.45,2.91,4.22,1.33
336,Keynan Middleton,,0,18,18,77,1,1,0,0,0,,16,9,8,2,0,1,18,8,9.15,3.8,4.02,1.33
337,Hayden Harris,ATL,0,40,40,173,2,2,0,0,1,,36,19,18,5,1,2,42,18,9.39,4.14,3.96,1.37
338,Nick Frasso,LAD,0,17,17,72,1,1,0,0,1,,16,8,8,2,0,1,16,5,8.49,2.89,4.05,1.27
339,Andrew Misiaszek,CLE,0,39,39,168,2,2,0,0,1,,36,18,17,5,1,2,39,16,9.09,3.79,3.9,1.33
340,Andrew Morris,MIN,0,10,10,42,0,0,0,0,1,,10,5,4,1,0,0,9,3,7.7,2.37,3.93,1.26
341,Allan Winans,NYY,0,13,13,54,1,1,0,0,1,,13,6,6,2,0,1,11,3,7.52,1.95,3.84,1.21
342,Joely Rodríguez,,0,33,33,141,2,2,0,0,0,,33,16,14,3,1,1,28,13,7.56,3.53,3.94,1.38
343,Garrett McDaniels,LAA,0,50,50,218,2,2,0,0,4,,50,25,23,6,1,2,42,22,7.65,3.87,4.15,1.43
344,Carlos Vargas,SEA,0,56,56,240,3,3,0,0,7,,53,26,23,6,1,3,49,22,7.93,3.61,3.77,1.35
345,Jacob Webb,TEX,0,62,62,269,3,3,0,1,15,,58,32,30,9,2,3,60,27,8.76,3.89,4.32,1.37
346,Angel Bastardo,TOR,0,24,24,103,1,1,0,0,1,,23,12,11,3,1,1,23,10,8.55,3.64,4,1.34
347,Kelvin Caceres,LAA,0,36,36,158,2,2,0,0,1,,33,18,17,4,1,2,37,18,9.27,4.61,4.18,1.42
348,Dillon Tate,,0,40,40,173,2,2,0,0,0,,42,20,19,5,1,3,30,13,6.84,2.96,4.24,1.37
349,Andrew Alvarez,WSN,0,17,17,73,1,1,0,0,1,,17,8,7,2,0,1,13,6,6.85,3.12,3.89,1.35
350,Kyle Amendt,ARI,0,22,22,95,1,1,0,0,1,,20,11,10,2,1,1,23,11,9.58,4.31,4.03,1.38
351,Evan Reifert,WSN,0,56,56,243,3,3,0,0,9,,50,28,26,7,1,3,56,27,9.04,4.38,4.13,1.38
352,Ryan Webb,CLE,0,34,34,146,2,2,0,0,1,,33,16,15,4,1,2,31,12,8.26,3.16,3.95,1.32
353,Avery Weems,TEX,0,16,16,68,1,1,0,0,1,,15,8,7,2,0,1,14,6,7.98,3.15,3.94,1.32
354,Jack Neely,CHC,0,15,15,64,1,1,0,0,1,,14,7,7,2,0,1,15,6,9.18,3.58,4.04,1.3
355,Justin Lawrence,COL,0,61,61,268,3,3,0,1,10,,62,34,31,7,2,3,56,28,8.19,4.15,4.62,1.48
356,Drew Pomeranz,SEA,0,15,15,64,1,1,0,0,1,,13,7,6,2,0,1,16,6,9.31,3.43,3.64,1.26
357,Colten Brewer,NYY,0,21,21,91,1,1,0,0,1,,20,11,10,3,0,1,19,8,8.29,3.38,4.22,1.34
358,Matt Gage,DET,0,17,17,73,1,1,0,0,1,,16,8,7,2,0,1,16,7,8.34,3.74,3.76,1.34
359,Jake Diekman,,0,38,38,165,2,2,0,0,0,,32,18,16,4,1,2,43,21,10.17,4.99,3.9,1.39
360,Zach Pop,TOR,0,44,44,191,2,2,0,0,1,,45,22,20,5,1,2,36,16,7.3,3.23,4.1,1.38
361,Mike Vasil,TBR,0,48,48,203,2,2,0,0,1,,47,23,22,6,1,2,40,14,7.55,2.6,4.04,1.28
362,Sem Robberse,STL,0,21,21,89,1,1,0,0,1,,21,10,9,3,1,1,18,6,7.52,2.69,3.96,1.28
363,Chase Shugart,BOS,0,26,26,113,1,1,0,0,1,,27,14,13,3,1,1,21,10,7.25,3.36,4.43,1.4
364,Rob Zastryzny,CHC,0,8,8,34,0,0,0,0,1,,7,4,3,1,0,0,7,3,8.36,3.19,3.88,1.29
365,Steven Okert,HOU,0,26,26,112,1,1,0,0,1,,23,13,12,4,1,1,27,11,9.48,3.81,4.22,1.32
366,Josh Staumont,,0,36,36,157,2,2,0,0,0,,33,18,17,5,1,2,36,17,8.89,4.26,4.26,1.39
367,Logan Evans,SEA,2,12,19.1,83,1,1,1,0,1,,19,10,9,3,0,1,16,7,7.44,3.23,4.18,1.34
368,Yohan Ramírez,PIT,0,22,22,96,1,1,0,0,1,,22,11,10,2,1,2,20,9,8.06,3.77,4.19,1.4
369,John McMillon,PHI,0,21,21,91,1,1,0,0,1,,18,10,9,3,1,1,23,11,9.87,4.85,4.05,1.4
370,Angel Chivilli,COL,0,56,56,245,3,3,0,0,9,,58,31,29,8,1,3,50,22,8.05,3.56,4.7,1.44
371,Andrew Saalfrank,ARI,0,35,35,153,2,2,0,0,1,,34,16,15,3,1,1,32,17,8.15,4.39,3.85,1.45
372,Dylan Covey,,0,12,12,52,1,1,0,0,1,,12,6,5,1,0,1,10,5,7.65,3.39,3.9,1.36
373,Alex Faedo,TBR,0,57,57,243,3,3,0,0,11,,52,28,26,8,1,2,58,21,9.15,3.28,4.07,1.29
374,A.J. Blubaugh,HOU,0,10,10,42,1,0,0,0,1,,9,5,4,1,0,0,10,3,8.63,3.09,4.04,1.29
375,Lyon Richardson,CIN,0,17,17,74,1,1,0,0,1,,16,9,8,2,0,1,17,7,8.93,3.95,4.28,1.39
376,Jesse Chavez,TEX,0,53,53,229,3,3,0,0,7,,53,27,25,7,1,2,48,17,8.21,2.94,4.21,1.33
377,Alex Cornwell,STL,0,8,8,34,0,0,0,0,1,,8,4,3,1,0,0,6,3,6.59,2.82,3.76,1.34
