#,Name,Team,GS,G,IP,TBF,W,L,QS,SV,HLD,BS,H,R,ER,HR,IBB,HBP,SO,BB,K/9,BB/9,ERA,WHIP
744,Angel Macuare,MIN,7,29,64,285,2,3,,0,0,,68,38,35,9,0,4,49,25,6.89,3.52,4.92,1.45
745,Matt Sauer,LAD,10,28,66.2,298,3,4,,0,0,,68,40,37,10,0,6,54,28,7.29,3.78,4.99,1.44
746,Matt Frisbee,,13,19,72,318,4,6,,0,0,,79,42,39,11,0,4,49,23,6.13,2.88,4.88,1.42
747,Luke Albright,ARI,15,20,75.1,345,4,4,,0,0,,76,43,40,9,0,5,61,42,7.29,5.02,4.78,1.57
748,Tejay Antone,CIN,3,18,31,136,1,2,,0,1,,31,19,18,5,0,2,28,14,8.13,4.06,5.23,1.45
749,Christian McGowan,PHI,12,16,45.2,207,2,2,,0,0,,46,28,26,7,0,5,37,21,7.29,4.14,5.12,1.47
750,Yon Castro,,10,15,43.2,196,2,3,,0,0,,46,27,25,7,0,3,33,18,6.8,3.71,5.15,1.46
751,Domingo Gonzalez,ATL,5,36,62,274,4,4,,0,0,,57,34,31,8,0,8,62,28,9,4.06,4.5,1.37
752,Ryan Long,BAL,11,22,84.2,372,3,5,,0,0,,91,50,46,13,0,4,57,29,6.06,3.08,4.89,1.42
753,Mike Mayers,,7,30,61,267,3,4,,0,0,,62,35,32,9,0,3,48,24,7.08,3.54,4.72,1.41
754,Sam Armstrong,CHC,17,23,93,415,4,6,,0,0,,97,55,51,13,0,10,63,34,6.1,3.29,4.94,1.41
755,Justus Sheffield,,12,21,63.1,295,3,6,,0,0,,72,43,40,10,1,5,47,31,6.68,4.41,5.69,1.63
756,Zach McCambley,MIA,9,20,55.1,254,3,5,,0,0,,56,34,31,7,0,6,48,30,7.81,4.88,5.05,1.56
757,David Leal,ATH,7,26,76.2,332,4,5,,0,0,,83,43,40,11,0,6,48,18,5.63,2.11,4.69,1.32
758,Zach Davies,,18,18,84.1,380,3,4,,0,0,,92,55,51,13,0,2,58,39,6.19,4.16,5.44,1.55
759,Garrett Davila,WSN,8,33,78,346,3,5,,0,0,,81,46,43,11,1,5,58,31,6.69,3.58,4.96,1.44
760,Roddery Muñoz,STL,21,26,109.2,482,6,8,,0,1,,108,64,59,18,0,6,93,49,7.63,4.02,4.84,1.43
761,Joe Elbis,ARI,23,23,117.1,525,6,6,,0,0,,127,67,62,16,0,8,73,46,5.6,3.53,4.76,1.47
